"days.to.today","cases.estimated","cases.estimated.sd","cases.reported","cases.reported.sd","cases.observed","cases.estimated.l95","cases.estimated.u95","cases.reported.l95","cases.reported.u95","new.cases.estimated","new.cases.reported"
-77,3878.73272012349,24.4252570050112,1796.49483458949,16.9116765224857,NA,3830.85921639367,3926.60622385332,1763.34794860541,1829.64172057356,80.210655362112,35.4974815219557
-76,3961.74754675149,25.7713556041781,1833.0776395442,17.3311219162896,1599,3911.2356897673,4012.25940373568,1799.10864058827,1867.04663850013,83.0148266279989,36.5828049547115
-75,4047.73168718163,27.2061201703689,1870.80907669498,17.7812497769311,NA,3994.40769164771,4101.05568271556,1835.95782713219,1905.66032625776,85.984140430141,37.7314371507794
-74,4136.86007555197,28.7342947735028,1909.75593547865,18.2649165725851,NA,4080.5408577959,4193.17929330803,1873.95669899639,1945.55517196092,89.1283883703345,38.9468587836755
-73,4229.31803873567,30.3606845133876,1949.98868933265,18.7850057251397,1702,4169.81109708943,4288.82498038191,1913.17007811138,1986.80730055392,92.457963183705,40.2327538539973
-72,4325.30192715347,32.0901728374555,1991.58170764703,19.3444148920055,NA,4262.40518839206,4388.19866591488,1953.6666544587,2029.49676083536,95.9838884177962,41.5930183143782
-71,4425.01979361759,33.9277412038401,2034.61348404648,19.9460450214736,1766,4358.52142085806,4491.51816637712,1995.51923580439,2073.70773228857,99.7178664641197,43.0317763994542
-70,4528.69210553218,35.8784924155725,2079.16687429077,20.5927902119537,NA,4458.37026039766,4599.0139506667,2038.80500547534,2119.5287431062,103.672311914588,44.5533902442858
-69,4636.55249462382,37.9476759214212,2125.32934534233,21.2875342357635,NA,4562.17504981783,4710.9299394298,2083.60577824024,2167.05291244443,107.860389091639,46.1624710515657
-68,4748.84856346527,40.1407127600986,2173.19324353705,22.0331470962747,1835,4670.17276645547,4827.52436047506,2130.00827522835,2216.37821184575,112.29606884145,47.8638981947156
-67,4865.84273478708,42.4632230044621,2222.85607544508,22.8324850740747,NA,4782.61481769833,4949.07065187582,2178.1044046999,2267.60774619027,116.99417132181,49.6628319080337
-66,4987.81314894448,44.9210561701793,2274.42080338155,23.6883930646,1963,4899.76787885093,5075.85841903803,2227.99155297493,2320.85005378816,121.970414157408,51.5647279364648
-65,5115.05461877257,47.5203201983836,2327.99615909864,24.6037118962736,NA,5021.91479118374,5208.1944463614,2279.77288378194,2376.21943441533,127.241469828087,53.5753557170897
-64,5247.87963972746,50.2674119743499,2383.69697433778,25.5812876412748,2115,5149.35551225774,5346.40376719719,2333.55765056089,2433.83629811468,132.825020954891,55.7008152391477
-63,5386.61945769897,53.1690518378714,2441.64452883191,26.6239833098271,NA,5282.40811609675,5490.8307993012,2389.46152154465,2493.82753611917,138.739817971513,57.9475544941261
-62,5531.62520437352,56.2323139916944,2501.96691944852,27.7346938309699,NA,5421.4098689498,5641.84053979724,2447.60691953982,2556.32691935722,145.005746674549,60.3223906166122
-61,5683.26909733004,59.464659913588,2564.79944880103,28.9163621553685,2225,5566.71836389941,5799.81983076067,2508.1233789765,2621.47551862555,151.643892956518,62.8325293525022
-60,5841.94571012306,62.8739732675164,2630.28503503306,30.1719967482141,NA,5718.71272251873,5965.17869772739,2571.14792140656,2689.42214865956,158.676612793017,65.4855862320383
-59,6005.4428550866,66.3276276376516,2697.49334758725,31.4505895912539,2458,5875.44070491681,6135.4450052564,2635.85019198839,2759.13650318611,163.497144963544,67.2083125541844
-58,6171.54220546748,69.69761000753,2765.50253042036,32.7015329203605,NA,6034.93488985272,6308.14952108224,2701.40752589646,2829.59753494427,166.099350380875,68.0091828331138
-57,6340.60167054216,72.9991443779965,2834.45227303906,33.928821686786,2599,6197.52334756129,6483.67999352304,2767.95178253296,2900.95276354516,169.059465074684,68.9497426186945
-56,6512.92721602203,76.2469175394977,2904.45952589025,35.1366744098813,NA,6363.48325764462,6662.37117439945,2835.59164404689,2973.32740773362,172.325545479869,70.0072528511973
-55,6688.78475076401,79.4551940989625,2975.62366446288,36.3294404750651,NA,6533.05257033005,6844.51693119798,2904.41796113176,3046.82936779401,175.857534741981,71.1641385726302
-54,6868.40923120048,82.6379742607834,3048.03043177061,37.5115698622084,NA,6706.43880164934,7030.37966075161,2974.50775484068,3121.55310870053,179.624480436465,72.4067673077225
