"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-04";"85";" 93008 ( 63715, 122302)";"1941 ( 997,  2885)";" 490246 ( 322543,  657949)";"10285 ( 5020, 15550)";"118511 ( 57672, 179349)";" 77500 ( 39672, 115328)";"14613 ( 7883, 21343)";"23028 (13423,  32634)";" 41451 ( 24161,  58741)";"40%"
"2015-02-03";"84";" 91067 ( 62708, 119426)";"1899 ( 982,  2817)";" 479961 ( 317477,  642445)";"10067 ( 4944, 15190)";"116001 ( 56796, 175206)";" 75841 ( 39081, 112601)";"14298 ( 7766, 20831)";"22535 (13201,  31869)";" 40563 ( 23762,  57364)";"40%"
"2015-02-02";"83";" 89168 ( 61716, 116619)";"1859 ( 967,  2750)";" 469893 ( 312486,  627301)";" 9853 ( 4870, 14837)";"113539 ( 55937, 171141)";" 74215 ( 38500, 109930)";"13990 ( 7651, 20330)";"22051 (12983,  31120)";" 39692 ( 23369,  56015)";"40%"
"2015-02-01";"82";" 87309 ( 60739, 113879)";"1819 ( 953,  2684)";" 460040 ( 307570,  612510)";" 9644 ( 4797, 14491)";"111124 ( 55095, 167153)";" 72622 ( 37928, 107315)";"13689 ( 7537, 19840)";"21578 (12769,  30386)";" 38840 ( 22984,  54695)";"40%"
"2015-01-31";"81";" 85490 ( 59776, 111205)";"1780 ( 939,  2620)";" 450397 ( 302728,  598065)";" 9438 ( 4725, 14151)";"108756 ( 54268, 163244)";" 71061 ( 37366, 104755)";"13393 ( 7426, 19361)";"21113 (12559,  29668)";" 38004 ( 22606,  53403)";"40%"
"2015-01-30";"80";" 83710 ( 58827, 108594)";"1741 ( 925,  2558)";" 440959 ( 297957,  583961)";" 9236 ( 4654, 13818)";"106434 ( 53457, 159411)";" 69532 ( 36814, 102250)";"13104 ( 7316, 18893)";"20659 (12352,  28966)";" 37186 ( 22234,  52138)";"40%"
"2015-01-29";"79";" 81969 ( 57892, 106046)";"1704 ( 911,  2496)";" 431723 ( 293257,  570189)";" 9038 ( 4585, 13492)";"104158 ( 52661, 155655)";" 68034 ( 36269,  99799)";"12821 ( 7207, 18435)";"20214 (12150,  28278)";" 36385 ( 21869,  50900)";"40%"
"2015-01-28";"78";" 80265 ( 56971, 103560)";"1667 ( 898,  2436)";" 422684 ( 288626,  556742)";" 8845 ( 4517, 13173)";"101927 ( 51878, 151976)";" 66567 ( 35734,  97401)";"12544 ( 7100, 17988)";"19778 (11950,  27606)";" 35600 ( 21510,  49690)";"40%"
"2015-01-27";"77";" 78598 ( 56064, 101133)";"1631 ( 885,  2377)";" 413839 ( 284063,  543616)";" 8655 ( 4450, 12860)";" 99740 ( 51110, 148371)";" 65131 ( 35206,  95056)";"12273 ( 6995, 17551)";"19351 (11754,  26948)";" 34832 ( 21158,  48506)";"40%"
"2015-01-26";"76";" 76967 ( 55169,  98765)";"1596 ( 872,  2320)";" 405185 ( 279567,  530802)";" 8469 ( 4384, 12553)";" 97598 ( 50354, 144842)";" 63725 ( 34687,  92763)";"12008 ( 6891, 17125)";"18933 (11562,  26305)";" 34080 ( 20811,  47348)";"40%"
"2015-01-25";"75";" 75371 ( 54288,  96454)";"1561 ( 859,  2264)";" 396716 ( 275138,  518294)";" 8287 ( 4320, 12253)";" 95498 ( 49610, 141387)";" 62348 ( 34175,  90521)";"11749 ( 6789, 16708)";"18524 (11373,  25676)";" 33343 ( 20471,  46216)";"40%"
