"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-03-05";"114";" 6920 ( -2134, 15974)";" 8 ( -2, 18)";"16 ( -4,  36)";" 4 (-1,  9)";" 9 ( -2, 20)";"11 ( -4, 26)";"23 ( -7,  53)";"11 ( -4, 26)";"31 ( -9,  71)";"11 ( -4, 26)";" 62 ( -19, 143)";"18 ( -5,  41)";" 8 ( -2, 18)";"10 ( -3, 23)";"222 (116, 328)"
"2015-03-04";"113";" 6797 ( -2038, 15632)";" 7 ( -3, 17)";"15 ( -5,  35)";" 4 (-1,  9)";" 8 ( -3, 19)";"11 ( -4, 26)";"23 ( -7,  53)";"11 ( -4, 26)";"30 ( -9,  69)";"11 ( -4, 26)";" 60 ( -19, 139)";"17 ( -6,  40)";" 7 ( -3, 17)";"10 ( -2, 22)";"214 (111, 317)"
"2015-03-03";"112";" 6677 ( -1945, 15299)";" 7 ( -2, 16)";"15 ( -4,  34)";" 4 (-1,  9)";" 8 ( -3, 19)";"11 ( -3, 25)";"22 ( -7,  51)";"11 ( -3, 25)";"30 ( -8,  68)";"11 ( -3, 25)";" 59 ( -18, 136)";"17 ( -5,  39)";" 7 ( -2, 16)";" 9 ( -3, 21)";"211 (110, 312)"
"2015-03-02";"111";" 6559 ( -1854, 14972)";" 7 ( -2, 16)";"15 ( -4,  34)";" 4 (-1,  9)";" 8 ( -3, 19)";"11 ( -3, 25)";"22 ( -6,  50)";"11 ( -3, 25)";"29 ( -8,  66)";"11 ( -3, 25)";" 58 ( -17, 133)";"17 ( -4,  38)";" 7 ( -2, 16)";" 9 ( -3, 21)";"209 (111, 307)"
"2015-03-01";"110";" 6443 ( -1766, 14652)";" 7 ( -2, 16)";"14 ( -4,  32)";" 4 (-1,  9)";" 8 ( -2, 18)";"11 ( -3, 25)";"22 ( -5,  49)";"11 ( -3, 25)";"29 ( -8,  66)";"11 ( -3, 25)";" 57 ( -16, 130)";"16 ( -5,  37)";" 7 ( -2, 16)";" 9 ( -2, 20)";"206 (110, 302)"
"2015-02-28";"109";" 6330 ( -1679, 14339)";" 7 ( -2, 16)";"14 ( -4,  32)";" 3 (-1,  7)";" 8 ( -2, 18)";"10 ( -3, 23)";"21 ( -6,  48)";"10 ( -3, 23)";"28 ( -8,  64)";"10 ( -3, 23)";" 56 ( -15, 127)";"16 ( -4,  36)";" 7 ( -2, 16)";" 9 ( -2, 20)";"199 (106, 292)"
"2015-02-27";"108";" 6218 ( -1597, 14033)";" 7 ( -2, 16)";"14 ( -4,  32)";" 3 (-1,  7)";" 8 ( -2, 18)";"10 ( -3, 23)";"21 ( -5,  47)";"10 ( -3, 23)";"28 ( -7,  63)";"10 ( -3, 23)";" 55 ( -15, 125)";"16 ( -4,  36)";" 7 ( -2, 16)";" 9 ( -2, 20)";"198 (107, 289)"
"2015-02-26";"107";" 6108 ( -1517, 13733)";" 7 ( -1, 15)";"14 ( -3,  31)";" 3 (-1,  7)";" 8 ( -2, 18)";"10 ( -3, 23)";"20 ( -6,  46)";"10 ( -3, 23)";"27 ( -7,  61)";"10 ( -3, 23)";" 54 ( -14, 122)";"16 ( -3,  35)";" 7 ( -1, 15)";" 9 ( -2, 20)";"195 (106, 284)"
"2015-02-25";"106";" 6001 ( -1438, 13440)";" 7 ( -1, 15)";"14 ( -3,  31)";" 3 (-1,  7)";" 8 ( -1, 17)";"10 ( -2, 22)";"20 ( -5,  45)";"10 ( -2, 22)";"27 ( -6,  60)";"10 ( -2, 22)";" 53 ( -13, 119)";"15 ( -4,  34)";" 7 ( -1, 15)";" 8 ( -2, 18)";"192 (105, 279)"
"2015-02-24";"105";" 5895 ( -1363, 13153)";" 6 ( -2, 14)";"13 ( -3,  29)";" 3 (-1,  7)";" 7 ( -2, 16)";"10 ( -2, 22)";"20 ( -4,  44)";"10 ( -2, 22)";"26 ( -6,  58)";"10 ( -2, 22)";" 52 ( -13, 117)";"15 ( -4,  34)";" 6 ( -2, 14)";" 8 ( -2, 18)";"186 (101, 271)"
