"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-01-22";"72";"1182 ( -357,  2721)";" 591 ( -179,  1361)";" 591 ( -179,  1361)";"118 ( -36,  272)";"1182 ( -357,  2721)";" 2482 (  590,  4374)"
"2015-01-21";"71";"1162 ( -339,  2663)";" 581 ( -169,  1331)";" 581 ( -169,  1331)";"116 ( -34,  266)";"1162 ( -339,  2663)";" 2440 (  596,  4284)"
"2015-01-20";"70";"1142 ( -321,  2605)";" 571 ( -160,  1302)";" 571 ( -160,  1302)";"114 ( -32,  260)";"1142 ( -321,  2605)";" 2398 (  600,  4196)"
"2015-01-19";"69";"1122 ( -304,  2548)";" 561 ( -152,  1274)";" 561 ( -152,  1274)";"112 ( -31,  255)";"1122 ( -304,  2548)";" 2356 (  604,  4108)"
"2015-01-18";"68";"1103 ( -287,  2493)";" 552 ( -143,  1247)";" 552 ( -143,  1247)";"110 ( -29,  249)";"1103 ( -287,  2493)";" 2317 (  609,  4025)"
"2015-01-17";"67";"1085 ( -270,  2440)";" 542 ( -135,  1219)";" 542 ( -135,  1219)";"108 ( -27,  243)";"1085 ( -270,  2440)";" 2277 (  612,  3942)"
"2015-01-16";"66";"1066 ( -254,  2386)";" 533 ( -127,  1193)";" 533 ( -127,  1193)";"107 ( -25,  239)";"1066 ( -254,  2386)";" 2239 (  617,  3861)"
"2015-01-15";"65";"1048 ( -239,  2335)";" 524 ( -119,  1167)";" 524 ( -119,  1167)";"105 ( -24,  234)";"1048 ( -239,  2335)";" 2201 (  620,  3782)"
"2015-01-14";"64";"1030 ( -224,  2284)";" 515 ( -112,  1142)";" 515 ( -112,  1142)";"103 ( -22,  228)";"1030 ( -224,  2284)";" 2163 (  622,  3704)"
"2015-01-13";"63";"1013 ( -209,  2235)";" 507 ( -104,  1118)";" 507 ( -104,  1118)";"101 ( -21,  223)";"1013 ( -209,  2235)";" 2128 (  626,  3630)"
"2015-01-12";"62";" 996 ( -195,  2187)";" 498 (  -98,  1094)";" 498 (  -98,  1094)";"100 ( -19,  219)";" 996 ( -195,  2187)";" 2092 (  628,  3556)"
"2015-01-11";"61";" 979 ( -182,  2140)";" 489 (  -91,  1069)";" 489 (  -91,  1069)";" 98 ( -18,  214)";" 979 ( -182,  2140)";" 2055 (  629,  3481)"
"2015-01-10";"60";" 963 ( -168,  2094)";" 482 (  -84,  1048)";" 482 (  -84,  1048)";" 96 ( -17,  209)";" 963 ( -168,  2094)";" 2023 (  633,  3413)"
"2015-01-09";"59";" 946 ( -156,  2048)";" 473 (  -78,  1024)";" 473 (  -78,  1024)";" 95 ( -15,  205)";" 946 ( -156,  2048)";" 1987 (  632,  3342)"
"2015-01-08";"58";" 931 ( -143,  2005)";" 466 (  -71,  1003)";" 466 (  -71,  1003)";" 93 ( -14,  200)";" 931 ( -143,  2005)";" 1956 (  636,  3276)"
"2015-01-07";"57";" 915 ( -132,  1962)";" 458 (  -65,   981)";" 458 (  -65,   981)";" 92 ( -13,  197)";" 915 ( -132,  1962)";" 1923 (  637,  3209)"
"2015-01-06";"56";" 900 ( -120,  1920)";" 450 (  -60,   960)";" 450 (  -60,   960)";" 90 ( -12,  192)";" 900 ( -120,  1920)";" 1890 (  637,  3143)"
"2015-01-05";"55";" 884 ( -110,  1878)";" 442 (  -55,   939)";" 442 (  -55,   939)";" 88 ( -11,  187)";" 884 ( -110,  1878)";" 1856 (  635,  3077)"
"2015-01-04";"54";" 870 (  -98,  1838)";" 435 (  -49,   919)";" 435 (  -49,   919)";" 87 ( -10,  184)";" 870 (  -98,  1838)";" 1827 (  637,  3017)"
"2015-01-03";"53";" 855 (  -88,  1798)";" 428 (  -44,   900)";" 428 (  -44,   900)";" 86 (  -8,  180)";" 855 (  -88,  1798)";" 1797 (  638,  2956)"
"2015-01-02";"52";" 841 (  -78,  1760)";" 420 (  -39,   879)";" 420 (  -39,   879)";" 84 (  -8,  176)";" 841 (  -78,  1760)";" 1765 (  636,  2894)"
"2015-01-01";"51";" 827 (  -68,  1722)";" 414 (  -34,   862)";" 414 (  -34,   862)";" 83 (  -7,  173)";" 827 (  -68,  1722)";" 1738 (  638,  2838)"
"2014-12-31";"50";" 813 (  -59,  1685)";" 407 (  -29,   843)";" 407 (  -29,   843)";" 81 (  -6,  168)";" 813 (  -59,  1685)";" 1708 (  637,  2779)"
"2014-12-30";"49";" 800 (  -49,  1649)";" 400 (  -25,   825)";" 400 (  -25,   825)";" 80 (  -5,  165)";" 800 (  -49,  1649)";" 1680 (  636,  2724)"
"2014-12-29";"48";" 786 (  -41,  1613)";" 393 (  -21,   807)";" 393 (  -21,   807)";" 79 (  -4,  162)";" 786 (  -41,  1613)";" 1651 (  634,  2668)"
"2014-12-28";"47";" 773 (  -33,  1579)";" 386 (  -17,   789)";" 386 (  -17,   789)";" 77 (  -4,  158)";" 773 (  -33,  1579)";" 1622 (  632,  2612)"
"2014-12-27";"46";" 760 (  -25,  1545)";" 380 (  -12,   772)";" 380 (  -12,   772)";" 76 (  -2,  154)";" 760 (  -25,  1545)";" 1596 (  632,  2560)"
"2014-12-26";"45";" 748 (  -16,  1512)";" 374 (   -8,   756)";" 374 (   -8,   756)";" 75 (  -1,  151)";" 748 (  -16,  1512)";" 1571 (  632,  2510)"
"2014-12-25";"44";" 735 (   -9,  1479)";" 368 (   -4,   740)";" 368 (   -4,   740)";" 74 (   0,  148)";" 735 (   -9,  1479)";" 1545 (  630,  2460)"
"2014-12-24";"43";" 723 (   -2,  1448)";" 362 (    0,   724)";" 362 (    0,   724)";" 72 (   0,  144)";" 723 (   -2,  1448)";" 1519 (  628,  2410)"
"2014-12-23";"42";" 711 (    5,  1417)";" 356 (    3,   709)";" 356 (    3,   709)";" 71 (   0,  142)";" 711 (    5,  1417)";" 1494 (  627,  2361)"
"2014-12-22";"41";" 700 (   13,  1387)";" 350 (    6,   694)";" 350 (    6,   694)";" 70 (   1,  139)";" 700 (   13,  1387)";" 1470 (  625,  2315)"
