"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-03-04";"113";"12616 (6501, 18731)";"14 (7, 21)";"28 (14, 42)";" 7 (4, 10)";"16 ( 8, 24)";"21 (11, 31)";"42 (22,  62)";"21 (11, 31)";"56 (29,  83)";"21 (11, 31)";"112 (58, 166)";"32 (16, 48)";"14 (7, 21)";"18 ( 9, 27)";"402 (331, 473)"
"2015-03-03";"112";"12495 (6470, 18520)";"14 (7, 21)";"28 (14, 42)";" 7 (4, 10)";"16 ( 8, 24)";"21 (11, 31)";"42 (22,  62)";"21 (11, 31)";"56 (29,  83)";"21 (11, 31)";"111 (57, 165)";"32 (17, 47)";"14 (7, 21)";"17 ( 9, 25)";"400 (330, 470)"
"2015-03-02";"111";"12376 (6440, 18312)";"14 (7, 21)";"28 (15, 41)";" 7 (4, 10)";"15 ( 8, 22)";"20 (10, 30)";"41 (21,  61)";"20 (10, 30)";"55 (29,  81)";"20 (10, 30)";"110 (57, 163)";"32 (17, 47)";"14 (7, 21)";"17 ( 9, 25)";"393 (324, 462)"
"2015-03-01";"110";"12258 (6410, 18106)";"13 (7, 19)";"28 (15, 41)";" 7 (4, 10)";"15 ( 8, 22)";"20 (10, 30)";"41 (21,  61)";"20 (10, 30)";"55 (29,  81)";"20 (10, 30)";"109 (57, 161)";"31 (16, 46)";"13 (7, 19)";"17 ( 9, 25)";"389 (321, 457)"
"2015-02-28";"109";"12141 (6380, 17902)";"13 (7, 19)";"27 (14, 40)";" 7 (4, 10)";"15 ( 8, 22)";"20 (10, 30)";"41 (22,  60)";"20 (10, 30)";"54 (28,  80)";"20 (10, 30)";"108 (57, 159)";"31 (16, 46)";"13 (7, 19)";"17 ( 9, 25)";"386 (319, 453)"
"2015-02-27";"108";"12024 (6349, 17699)";"13 (7, 19)";"27 (14, 40)";" 7 (4, 10)";"15 ( 8, 22)";"20 (11, 29)";"40 (21,  59)";"20 (11, 29)";"54 (29,  79)";"20 (11, 29)";"107 (56, 158)";"31 (17, 45)";"13 (7, 19)";"17 ( 9, 25)";"384 (318, 450)"
"2015-02-26";"107";"11909 (6319, 17499)";"13 (7, 19)";"27 (14, 40)";" 7 (4, 10)";"15 ( 8, 22)";"20 (11, 29)";"40 (21,  59)";"20 (11, 29)";"53 (28,  78)";"20 (11, 29)";"106 (56, 156)";"30 (16, 44)";"13 (7, 19)";"17 ( 9, 25)";"381 (316, 446)"
"2015-02-25";"106";"11795 (6289, 17301)";"13 (7, 19)";"27 (15, 39)";" 6 (3,  9)";"15 ( 8, 22)";"19 (10, 28)";"40 (22,  58)";"19 (10, 28)";"52 (27,  77)";"19 (10, 28)";"105 (56, 154)";"30 (16, 44)";"13 (7, 19)";"17 ( 9, 25)";"375 (311, 439)"
"2015-02-24";"105";"11681 (6258, 17104)";"13 (7, 19)";"26 (14, 38)";" 6 (3,  9)";"15 ( 8, 22)";"19 (10, 28)";"39 (21,  57)";"19 (10, 28)";"52 (28,  76)";"19 (10, 28)";"104 (56, 152)";"30 (16, 44)";"13 (7, 19)";"16 ( 8, 24)";"371 (308, 434)"
"2015-02-23";"104";"11569 (6229, 16909)";"13 (7, 19)";"26 (14, 38)";" 6 (3,  9)";"14 ( 7, 21)";"19 (10, 28)";"39 (21,  57)";"19 (10, 28)";"51 (27,  75)";"19 (10, 28)";"103 (55, 151)";"30 (16, 44)";"13 (7, 19)";"16 ( 9, 23)";"368 (306, 430)"
"2015-02-22";"103";"11457 (6198, 16716)";"13 (7, 19)";"26 (14, 38)";" 6 (3,  9)";"14 ( 7, 21)";"19 (10, 28)";"38 (20,  56)";"19 (10, 28)";"51 (28,  74)";"19 (10, 28)";"102 (55, 149)";"29 (16, 42)";"13 (7, 19)";"16 ( 9, 23)";"365 (304, 426)"
"2015-02-21";"102";"11347 (6169, 16525)";"12 (6, 18)";"26 (14, 38)";" 6 (3,  9)";"14 ( 8, 20)";"19 (10, 28)";"38 (21,  55)";"19 (10, 28)";"50 (27,  73)";"19 (10, 28)";"101 (55, 147)";"29 (16, 42)";"12 (6, 18)";"16 ( 9, 23)";"361 (301, 421)"
"2015-02-20";"101";"11237 (6138, 16336)";"12 (6, 18)";"25 (14, 36)";" 6 (3,  9)";"14 ( 8, 20)";"19 (11, 27)";"38 (21,  55)";"19 (11, 27)";"50 (27,  73)";"19 (11, 27)";"100 (55, 145)";"29 (16, 42)";"12 (6, 18)";"16 ( 9, 23)";"359 (299, 419)"
"2015-02-19";"100";"11128 (6108, 16148)";"12 (6, 18)";"25 (14, 36)";" 6 (3,  9)";"14 ( 8, 20)";"18 (10, 26)";"37 (20,  54)";"18 (10, 26)";"50 (28,  72)";"18 (10, 26)";" 99 (54, 144)";"28 (15, 41)";"12 (6, 18)";"16 ( 9, 23)";"353 (294, 412)"
"2015-02-18";"99";"11020 (6078, 15962)";"12 (7, 17)";"25 (14, 36)";" 6 (3,  9)";"14 ( 8, 20)";"18 (10, 26)";"37 (20,  54)";"18 (10, 26)";"49 (27,  71)";"18 (10, 26)";" 98 (54, 142)";"28 (15, 41)";"12 (7, 17)";"15 ( 8, 22)";"350 (292, 408)"
"2015-02-17";"98";"10914 (6048, 15780)";"12 (7, 17)";"25 (14, 36)";" 6 (3,  9)";"14 ( 8, 20)";"18 (10, 26)";"37 (21,  53)";"18 (10, 26)";"49 (27,  71)";"18 (10, 26)";" 97 (54, 140)";"28 (16, 40)";"12 (7, 17)";"15 ( 8, 22)";"349 (292, 406)"
"2015-02-16";"97";"10808 (6018, 15598)";"12 (7, 17)";"24 (13, 35)";" 6 (3,  9)";"14 ( 8, 20)";"18 (10, 26)";"36 (20,  52)";"18 (10, 26)";"48 (27,  69)";"18 (10, 26)";" 96 (53, 139)";"28 (16, 40)";"12 (7, 17)";"15 ( 8, 22)";"345 (289, 401)"
"2015-02-15";"96";"10703 (5988, 15418)";"12 (7, 17)";"24 (13, 35)";" 6 (3,  9)";"13 ( 7, 19)";"18 (10, 26)";"36 (20,  52)";"18 (10, 26)";"48 (27,  69)";"18 (10, 26)";" 95 (53, 137)";"27 (15, 39)";"12 (7, 17)";"15 ( 8, 22)";"342 (287, 397)"
"2015-02-14";"95";"10598 (5958, 15238)";"12 (7, 17)";"24 (14, 34)";" 6 (3,  9)";"13 ( 7, 19)";"17 ( 9, 25)";"36 (20,  52)";"17 ( 9, 25)";"47 (26,  68)";"17 ( 9, 25)";" 94 (53, 135)";"27 (15, 39)";"12 (7, 17)";"15 ( 9, 21)";"337 (283, 391)"
"2015-02-13";"94";"10495 (5928, 15062)";"12 (7, 17)";"24 (14, 34)";" 6 (3,  9)";"13 ( 7, 19)";"17 ( 9, 25)";"35 (20,  50)";"17 ( 9, 25)";"47 (27,  67)";"17 ( 9, 25)";" 93 (52, 134)";"27 (15, 39)";"12 (7, 17)";"15 ( 9, 21)";"335 (282, 388)"
"2015-02-12";"93";"10393 (5898, 14888)";"11 (6, 16)";"23 (13, 33)";" 6 (4,  8)";"13 ( 7, 19)";"17 (10, 24)";"35 (20,  50)";"17 (10, 24)";"46 (26,  66)";"17 (10, 24)";" 92 (52, 132)";"27 (16, 38)";"11 (6, 16)";"15 ( 9, 21)";"330 (278, 382)"
"2015-02-11";"92";"10291 (5868, 14714)";"11 (6, 16)";"23 (13, 33)";" 6 (4,  8)";"13 ( 7, 19)";"17 (10, 24)";"34 (19,  49)";"17 (10, 24)";"46 (26,  66)";"17 (10, 24)";" 92 (53, 131)";"26 (15, 37)";"11 (6, 16)";"14 ( 8, 20)";"327 (275, 379)"
"2015-02-10";"91";"10191 (5838, 14544)";"11 (6, 16)";"23 (13, 33)";" 6 (4,  8)";"13 ( 8, 18)";"17 (10, 24)";"34 (19,  49)";"17 (10, 24)";"45 (26,  64)";"17 (10, 24)";" 91 (52, 130)";"26 (15, 37)";"11 (6, 16)";"14 ( 8, 20)";"325 (274, 376)"
