"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-03-16";"123";"199316 ( 28590, 370041)";"3513 ( 312, 6715)";"1025114 (141871, 1908356)";"17365 ( 2630, 32099)";"199055 ( 31096, 367013)";"139651 (12980, 266323)";"27962 ( 1182, 54743)";"41903 ( 9536, 74271)";" 75426 (17164, 133688)";"40%"
"2015-03-15";"122";"195802 ( 28217, 363387)";"3469 ( 280, 6659)";"1007749 (138771, 1876728)";"17171 ( 2437, 31905)";"196855 ( 28872, 364839)";"137901 (11675, 264127)";"27573 (  983, 54163)";"41368 ( 9119, 73618)";" 74463 (16415, 132512)";"40%"
"2015-03-14";"121";"192333 ( 27881, 356786)";"3425 ( 248, 6601)";" 990578 (135889, 1845267)";"16976 ( 2250, 31703)";"194643 ( 26708, 362577)";"136146 (10420, 261872)";"27184 (  794, 53574)";"40833 ( 8716, 72949)";" 73499 (15689, 131308)";"40%"
"2015-03-13";"120";"188908 ( 27579, 350238)";"3380 ( 219, 6542)";" 973602 (133220, 1813983)";"16781 ( 2069, 31493)";"192417 ( 24606, 360228)";"134389 ( 9217, 259561)";"26796 (  617, 52976)";"40296 ( 8326, 72266)";" 72534 (14987, 130080)";"40%"
"2015-03-12";"119";"185528 ( 27310, 343747)";"3336 ( 190, 6481)";" 956821 (130758, 1782884)";"16584 ( 1892, 31275)";"190180 ( 22566, 357794)";"132630 ( 8066, 257194)";"26409 (  451, 52368)";"39760 ( 7950, 71570)";" 71568 (14310, 128826)";"40%"
"2015-03-11";"118";"182193 ( 27073, 337313)";"3291 ( 163, 6419)";" 940237 (128495, 1751979)";"16386 ( 1722, 31051)";"187932 ( 20591, 355274)";"130869 ( 6967, 254772)";"26023 (  295, 51752)";"39223 ( 7587, 70860)";" 70602 (13656, 127547)";"40%"
"2015-03-10";"117";"178902 ( 26866, 330937)";"3246 ( 137, 6356)";" 923851 (126425, 1721277)";"16188 ( 1557, 30819)";"185675 ( 18681, 352670)";"129108 ( 5919, 252297)";"25639 (  150, 51127)";"38687 ( 7237, 70136)";" 69636 (13027, 126245)";"40%"
"2015-03-09";"116";"175655 ( 26688, 324622)";"3202 ( 113, 6291)";" 907663 (124541, 1690785)";"15989 ( 1399, 30579)";"183409 ( 16837, 349982)";"127347 ( 4924, 249771)";"25255 (   16, 50495)";"38151 ( 6901, 69400)";" 68671 (12422, 124920)";"40%"
"2015-03-08";"115";"172453 ( 26538, 318369)";"3157 (  89, 6225)";" 891674 (122836, 1660512)";"15789 ( 1246, 30333)";"181136 ( 15060, 347212)";"125587 ( 3980, 247195)";"24873 ( -108, 49855)";"37615 ( 6578, 68652)";" 67707 (11841, 123574)";"40%"
"2015-03-07";"114";"169296 ( 26413, 312179)";"3113 (  67, 6158)";" 875885 (121303, 1630466)";"15589 ( 1099, 30079)";"178857 ( 13352, 344362)";"123829 ( 3088, 244571)";"24493 ( -222, 49209)";"37081 ( 6269, 67892)";" 66745 (11285, 122205)";"40%"
"2015-03-06";"113";"166183 ( 26313, 306054)";"3068 (  47, 6090)";" 860296 (119936, 1600655)";"15388 (  958, 29819)";"176572 ( 11712, 341432)";"122074 ( 2247, 241900)";"24115 ( -326, 48556)";"36547 ( 5974, 67121)";" 65785 (10753, 120817)";"40%"
"2015-03-05";"112";"163115 ( 26235, 299995)";"3024 (  27, 6021)";" 844907 (118727, 1571087)";"15187 (  823, 29552)";"174283 ( 10142, 338424)";"120321 ( 1458, 239185)";"23739 ( -420, 47897)";"36015 ( 5692, 66338)";" 64827 (10245, 119409)";"40%"
"2015-03-04";"111";"160091 ( 26179, 294003)";"2980 (   9, 5950)";" 829720 (117669, 1541770)";"14986 (  695, 29278)";"171991 (  8641, 335341)";"118573 (  719, 236426)";"23364 ( -505, 47233)";"35484 ( 5423, 65546)";" 63872 ( 9761, 117983)";"40%"
"2015-03-03";"110";"157111 ( 26143, 288079)";"2936 (  -7, 5879)";" 814733 (116756, 1512710)";"14785 (  572, 28998)";"169697 (  7210, 332183)";"116829 (   31, 233627)";"22992 ( -580, 46564)";"34955 ( 5167, 64744)";" 62920 ( 9301, 116539)";"40%"
"2015-03-02";"109";"154175 ( 26126, 282224)";"2892 ( -23, 5807)";" 799948 (115981, 1483916)";"14584 (  456, 28711)";"167401 (  5849, 328953)";"115091 ( -608, 230790)";"22622 ( -646, 45891)";"34428 ( 4924, 63932)";" 61971 ( 8864, 115078)";"40%"
"2015-03-01";"108";"151283 ( 26126, 276441)";"2848 ( -37, 5733)";" 785365 (115335, 1455394)";"14382 (  346, 28419)";"165105 (  4558, 325653)";"113359 (-1198, 227915)";"22255 ( -703, 45213)";"33903 ( 4695, 63112)";" 61026 ( 8451, 113602)";"40%"
"2015-02-28";"107";"148435 ( 26142, 270729)";"2805 ( -50, 5659)";" 770983 (114813, 1427152)";"14181 (  242, 28120)";"162811 (  3337, 322284)";"111634 (-1739, 225006)";"21890 ( -751, 44532)";"33381 ( 4478, 62284)";" 60086 ( 8061, 112111)";"40%"
"2015-02-27";"106";"145631 ( 26172, 265089)";"2761 ( -62, 5585)";" 756801 (114408, 1399195)";"13980 (  144, 27816)";"160518 (  2186, 318850)";"109916 (-2233, 222065)";"21528 ( -791, 43848)";"32861 ( 4274, 61448)";" 59150 ( 7693, 110607)";"40%"
"2015-02-26";"105";"142869 ( 26216, 259523)";"2718 ( -73, 5509)";" 742821 (114112, 1371531)";"13779 (   52, 27507)";"158229 (  1104, 315353)";"108206 (-2680, 219093)";"21169 ( -823, 43161)";"32344 ( 4082, 60605)";" 58219 ( 7348, 109090)";"40%"
"2015-02-25";"104";"140152 ( 26271, 254032)";"2675 ( -83, 5433)";" 729042 (113919, 1344165)";"13579 (  -34, 27192)";"155943 (    92, 311794)";"106505 (-3082, 216093)";"20813 ( -847, 42473)";"31830 ( 3903, 59756)";" 57293 ( 7025, 107562)";"40%"
"2015-02-24";"103";"137476 ( 26338, 248615)";"2632 ( -91, 5356)";" 715463 (113821, 1317104)";"13379 ( -114, 26872)";"153662 (  -853, 308177)";"104814 (-3439, 213067)";"20460 ( -863, 41783)";"31318 ( 3735, 58902)";" 56373 ( 6723, 106023)";"40%"
"2015-02-23";"102";"134844 ( 26413, 243275)";"2590 ( -98, 5278)";" 702083 (113813, 1290354)";"13180 ( -188, 26548)";"151388 ( -1729, 304505)";"103133 (-3752, 210018)";"20110 ( -873, 41092)";"30811 ( 3579, 58042)";" 55459 ( 6443, 104475)";"40%"
"2015-02-22";"101";"132254 ( 26497, 238011)";"2548 (-105, 5200)";" 688903 (113888, 1263919)";"12982 ( -256, 26219)";"149120 ( -2538, 300779)";"101462 (-4023, 206947)";"19763 ( -875, 40400)";"30306 ( 3435, 57177)";" 54551 ( 6183, 102919)";"40%"
"2015-02-21";"100";"129707 ( 26588, 232825)";"2506 (-110, 5122)";" 675922 (114039, 1237805)";"12784 ( -318, 25885)";"146860 ( -3282, 297003)";" 99803 (-4252, 203858)";"19419 ( -870, 39709)";"29806 ( 3302, 56309)";" 53650 ( 5943, 101356)";"40%"
"2015-02-20";"99";"127201 ( 26685, 227716)";"2464 (-114, 5043)";" 663138 (114259, 1212017)";"12587 ( -375, 25548)";"144610 ( -3960, 293179)";" 98155 (-4441, 200752)";"19079 ( -860, 39018)";"29309 ( 3180, 55438)";" 52755 ( 5723,  99788)";"40%"
"2015-02-19";"98";"124736 ( 26787, 222685)";"2423 (-118, 4964)";" 650551 (114543, 1186560)";"12391 ( -426, 25207)";"142368 ( -4574, 289311)";" 96520 (-4591, 197632)";"18742 ( -843, 38328)";"28816 ( 3068, 54563)";" 51868 ( 5522,  98214)";"40%"
"2015-02-18";"97";"122313 ( 26893, 217733)";"2382 (-120, 4885)";" 638161 (114884, 1161438)";"12195 ( -471, 24862)";"140138 ( -5125, 285401)";" 94898 (-4704, 194500)";"18409 ( -821, 37639)";"28327 ( 2966, 53687)";" 50988 ( 5340,  96637)";"40%"
"2015-02-17";"96";"119931 ( 27002, 212860)";"2342 (-122, 4805)";" 625966 (115276, 1136655)";"12001 ( -512, 24514)";"137919 ( -5615, 281453)";" 93289 (-4781, 191358)";"18080 ( -793, 36952)";"27842 ( 2875, 52809)";" 50116 ( 5175,  95057)";"40%"
"2015-02-16";"95";"117589 ( 27113, 208066)";"2301 (-122, 4725)";" 613964 (115714, 1112214)";"11808 ( -547, 24164)";"135713 ( -6045, 277470)";" 91694 (-4822, 188210)";"17754 ( -760, 36268)";"27362 ( 2793, 51931)";" 49251 ( 5027,  93476)";"40%"
"2015-02-15";"94";"115288 ( 27224, 203352)";"2262 (-122, 4645)";" 602156 (116192, 1088120)";"11617 ( -577, 23810)";"133519 ( -6416, 273454)";" 90113 (-4831, 185057)";"17432 ( -723, 35586)";"26886 ( 2720, 51052)";" 48395 ( 4896,  91894)";"40%"
"2015-02-14";"93";"113026 ( 27336, 198717)";"2222 (-121, 4565)";" 590539 (116703, 1064376)";"11426 ( -602, 23454)";"131340 ( -6730, 269410)";" 88547 (-4808, 181901)";"17113 ( -681, 34907)";"26415 ( 2656, 50174)";" 47547 ( 4781,  90313)";"40%"
"2015-02-13";"92";"110804 ( 27447, 194162)";"2183 (-119, 4485)";" 579113 (117243, 1040984)";"11237 ( -622, 23096)";"129176 ( -6988, 265339)";" 86996 (-4754, 178746)";"16799 ( -635, 34233)";"25949 ( 2601, 49297)";" 46708 ( 4682,  88734)";"40%"
"2015-02-12";"91";"108621 ( 27556, 189686)";"2144 (-117, 4406)";" 567877 (117806, 1017947)";"11049 ( -638, 22736)";"127027 ( -7193, 261246)";" 85461 (-4671, 175593)";"16489 ( -585, 33562)";"25487 ( 2554, 48421)";" 45877 ( 4596,  87158)";"40%"
"2015-02-11";"90";"106477 ( 27663, 185291)";"2106 (-114, 4326)";" 556827 (118388,  995267)";"10863 ( -649, 22375)";"124894 ( -7345, 257134)";" 83941 (-4562, 172444)";"16182 ( -532, 32896)";"25031 ( 2514, 47548)";" 45056 ( 4525,  85586)";"40%"
"2015-02-10";"89";"104371 ( 27767, 180974)";"2068 (-110, 4247)";" 545965 (118983,  972946)";"10678 ( -656, 22012)";"122779 ( -7448, 253005)";" 82438 (-4426, 169303)";"15880 ( -475, 32234)";"24579 ( 2482, 46677)";" 44243 ( 4467,  84019)";"40%"
"2015-02-09";"88";"102302 ( 27867, 176738)";"2031 (-106, 4167)";" 535287 (119588,  950986)";"10495 ( -659, 21648)";"120681 ( -7502, 248864)";" 80952 (-4266, 166170)";"15581 ( -416, 31578)";"24133 ( 2457, 45810)";" 43440 ( 4422,  82458)";"40%"
"2015-02-08";"87";"100272 ( 27963, 172580)";"1994 (-101, 4089)";" 524792 (120196,  929388)";"10313 ( -658, 21284)";"118601 ( -7511, 244713)";" 79482 (-4084, 163048)";"15287 ( -354, 30928)";"23692 ( 2438, 44947)";" 42646 ( 4388,  80904)";"40%"
"2015-02-07";"86";" 98278 ( 28054, 168501)";"1957 ( -95, 4010)";" 514479 (120805,  908153)";"10133 ( -653, 20919)";"116541 ( -7475, 240556)";" 78030 (-3880, 159940)";"14996 ( -290, 30283)";"23257 ( 2425, 44088)";" 41862 ( 4366,  79358)";"40%"
"2015-02-06";"85";" 96320 ( 28140, 164501)";"1921 ( -90, 3932)";" 504346 (121409,  887282)";" 9955 ( -644, 20554)";"114500 ( -7397, 236396)";" 76595 (-3657, 156847)";"14710 ( -224, 29645)";"22826 ( 2419, 43234)";" 41087 ( 4354,  77821)";"40%"
"2015-02-05";"84";" 94399 ( 28219, 160579)";"1886 ( -83, 3854)";" 494391 (122006,  866776)";" 9779 ( -632, 20189)";"112479 ( -7279, 232236)";" 75178 (-3416, 153772)";"14428 ( -157, 29013)";"22401 ( 2418, 42385)";" 40323 ( 4352,  76294)";"40%"
"2015-02-04";"83";" 92514 ( 28292, 156735)";"1850 ( -77, 3777)";" 484612 (122591,  846633)";" 9604 ( -617, 19825)";"110478 ( -7123, 228080)";" 73779 (-3158, 150716)";"14150 (  -88, 28388)";"21982 ( 2421, 41543)";" 39568 ( 4358,  74778)";"40%"
"2015-02-03";"82";" 90663 ( 28359, 152968)";"1816 ( -69, 3701)";" 475008 (123162,  826854)";" 9431 ( -598, 19461)";"108499 ( -6931, 223930)";" 72398 (-2886, 147681)";"13876 (  -18, 27770)";"21568 ( 2430, 40707)";" 38823 ( 4374,  73273)";"40%"
