"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-03-20";"127";"169928 (-10259, 350114)";"3104 ( -51, 6258)";" 878441 (-44240, 1801122)";"15213 ( 1016, 29410)";"174275 ( 12693, 335858)";"123299 ( -1343, 247941)";"24836 (-2032, 51704)";"37034 ( 5158, 68910)";"66661 ( 9284, 124038)";"40%"
"2015-03-19";"126";"166824 (-10285, 343933)";"3068 ( -83, 6218)";" 863228 (-45823, 1772279)";"15063 (  824, 29302)";"172579 ( 10479, 334678)";"121879 ( -2651, 246409)";"24508 (-2232, 51247)";"36597 ( 4755, 68439)";"65874 ( 8558, 123190)";"40%"
"2015-03-18";"125";"163756 (-10274, 337787)";"3031 (-114, 6177)";" 848165 (-47186, 1743516)";"14911 (  638, 29185)";"170859 (  8321, 333397)";"120448 ( -3910, 244805)";"24179 (-2420, 50778)";"36157 ( 4364, 67949)";"65082 ( 7856, 122309)";"40%"
"2015-03-17";"124";"160725 (-10228, 331678)";"2995 (-144, 6134)";" 833253 (-48335, 1714841)";"14758 (  456, 29060)";"169118 (  6222, 332014)";"119007 ( -5118, 243133)";"23850 (-2597, 50297)";"35714 ( 3986, 67442)";"64286 ( 7176, 121396)";"40%"
"2015-03-16";"123";"157730 (-10148, 325609)";"2958 (-173, 6089)";" 818496 (-49275, 1686266)";"14602 (  280, 28925)";"167356 (  4182, 330529)";"117558 ( -6276, 241391)";"23520 (-2763, 49804)";"35269 ( 3621, 66917)";"63485 ( 6519, 120451)";"40%"
"2015-03-15";"122";"154773 (-10036, 319581)";"2921 (-200, 6042)";" 803893 (-50014, 1657800)";"14445 (  109, 28781)";"165574 (  2204, 328944)";"116100 ( -7382, 239583)";"23190 (-2919, 49299)";"34823 ( 3269, 66376)";"62681 ( 5885, 119476)";"40%"
"2015-03-14";"121";"151852 ( -9892, 313595)";"2884 (-226, 5994)";" 789448 (-50557, 1629453)";"14286 (  -56, 28629)";"163774 (   288, 327259)";"114635 ( -8438, 237708)";"22860 (-3063, 48782)";"34374 ( 2930, 65817)";"61873 ( 5275, 118471)";"40%"
"2015-03-13";"120";"148968 ( -9719, 307655)";"2846 (-251, 5944)";" 775162 (-50911, 1601234)";"14126 ( -216, 28469)";"161956 ( -1564, 325475)";"113164 ( -9441, 235769)";"22529 (-3197, 48255)";"33923 ( 2605, 65242)";"61062 ( 4688, 117436)";"40%"
"2015-03-12";"119";"146122 ( -9518, 301761)";"2809 (-275, 5892)";" 761035 (-51082, 1573153)";"13965 ( -370, 28299)";"160121 ( -3351, 323593)";"111686 (-10393, 233766)";"22199 (-3319, 47718)";"33471 ( 2292, 64651)";"60249 ( 4125, 116372)";"40%"
"2015-03-11";"118";"143313 ( -9290, 295915)";"2771 (-297, 5839)";" 747071 (-51077, 1545219)";"13802 ( -518, 28121)";"158271 ( -5073, 321615)";"110204 (-11294, 231702)";"21870 (-3432, 47171)";"33018 ( 1992, 64045)";"59433 ( 3586, 115280)";"40%"
"2015-03-10";"117";"140542 ( -9037, 290120)";"2734 (-318, 5785)";" 733269 (-50903, 1517441)";"13638 ( -660, 27935)";"156407 ( -6727, 319540)";"108718 (-12142, 229579)";"21540 (-3534, 46614)";"32565 ( 1706, 63423)";"58616 ( 3071, 114162)";"40%"
"2015-03-09";"116";"137808 ( -8760, 284376)";"2696 (-337, 5729)";" 719631 (-50567, 1489829)";"13472 ( -796, 27741)";"154529 ( -8314, 317372)";"107229 (-12939, 227397)";"21212 (-3625, 46049)";"32110 ( 1433, 62787)";"57798 ( 2580, 113017)";"40%"
"2015-03-08";"115";"135112 ( -8461, 278685)";"2658 (-355, 5672)";" 706159 (-50074, 1462392)";"13306 ( -927, 27539)";"152639 ( -9833, 315111)";"105737 (-13684, 225159)";"20884 (-3707, 45474)";"31655 ( 1174, 62137)";"56979 ( 2112, 111847)";"40%"
"2015-03-07";"114";"132454 ( -8141, 273049)";"2620 (-372, 5613)";" 692853 (-49433, 1435139)";"13139 (-1051, 27329)";"150738 (-11283, 312759)";"104244 (-14378, 222866)";"20557 (-3778, 44892)";"31200 (  927, 61473)";"56160 ( 1669, 110652)";"40%"
"2015-03-06";"113";"129834 ( -7802, 267469)";"2582 (-388, 5553)";" 679714 (-48650, 1408078)";"12971 (-1169, 27111)";"148827 (-12664, 310318)";"102749 (-15022, 220520)";"20231 (-3840, 44303)";"30745 (  694, 60797)";"55341 ( 1249, 109434)";"40%"
"2015-03-05";"112";"127251 ( -7445, 261947)";"2545 (-402, 5492)";" 666743 (-47731, 1381217)";"12802 (-1281, 26885)";"146907 (-13976, 307789)";"101255 (-15615, 218125)";"19907 (-3892, 43706)";"30290 (  473, 60108)";"54523 (  852, 108194)";"40%"
"2015-03-04";"111";"124707 ( -7071, 256484)";"2507 (-415, 5429)";" 653941 (-46684, 1354567)";"12633 (-1387, 26652)";"144979 (-15218, 305176)";" 99761 (-16158, 215680)";"19584 (-3935, 43103)";"29836 (  266, 59406)";"53705 (  479, 106932)";"40%"
"2015-03-03";"110";"122200 ( -6683, 251082)";"2469 (-427, 5365)";" 641308 (-45516, 1328133)";"12463 (-1487, 26412)";"143044 (-16390, 302478)";" 98269 (-16651, 213189)";"19262 (-3969, 42494)";"29383 (   72, 58694)";"52889 (  129, 105649)";"40%"
"2015-03-02";"109";"119731 ( -6280, 245742)";"2431 (-438, 5301)";" 628846 (-44234, 1301925)";"12292 (-1580, 26165)";"141104 (-17493, 299700)";" 96779 (-17096, 210654)";"18943 (-3994, 41879)";"28930 ( -110, 57971)";"52075 ( -198, 104347)";"40%"
"2015-03-01";"108";"117299 ( -5865, 240464)";"2394 (-447, 5235)";" 616554 (-42844, 1275951)";"12121 (-1668, 25911)";"139159 (-18526, 296843)";" 95291 (-17493, 208076)";"18624 (-4010, 41259)";"28479 ( -279, 57237)";"51262 ( -503, 103027)";"40%"
"2015-02-28";"107";"114906 ( -5439, 235251)";"2356 (-456, 5168)";" 604432 (-41353, 1250217)";"11950 (-1749, 25650)";"137210 (-19489, 293909)";" 93808 (-17843, 205459)";"18308 (-4018, 40635)";"28029 ( -436, 56494)";"50452 ( -785, 101690)";"40%"
"2015-02-27";"106";"112549 ( -5004, 230102)";"2319 (-463, 5101)";" 592482 (-39769, 1224732)";"11779 (-1825, 25383)";"135259 (-20383, 290902)";" 92329 (-18147, 202804)";"17994 (-4018, 40007)";"27581 ( -581, 55742)";"49645 (-1046, 100336)";"40%"
"2015-02-26";"105";"110230 ( -4560, 225021)";"2282 (-469, 5032)";" 580702 (-38097, 1199502)";"11608 (-1894, 25110)";"133307 (-21209, 287823)";" 90854 (-18404, 200113)";"17683 (-4010, 39375)";"27134 ( -714, 54982)";"48842 (-1285,  98968)";"40%"
"2015-02-25";"104";"107949 ( -4108, 220006)";"2245 (-474, 4963)";" 569094 (-36345, 1174534)";"11437 (-1958, 24831)";"131354 (-21967, 284676)";" 89386 (-18618, 197390)";"17373 (-3995, 38741)";"26690 ( -835, 54214)";"48041 (-1502,  97585)";"40%"
"2015-02-24";"103";"105704 ( -3651, 215060)";"2208 (-477, 4893)";" 557658 (-34520, 1149835)";"11266 (-2015, 24546)";"129402 (-22657, 281462)";" 87924 (-18788, 194636)";"17066 (-3973, 38104)";"26247 ( -944, 53439)";"47245 (-1699,  96190)";"40%"
"2015-02-23";"102";"103497 ( -3189, 210182)";"2171 (-480, 4822)";" 546392 (-32627, 1125411)";"11095 (-2067, 24256)";"127452 (-23281, 278186)";" 86469 (-18916, 191853)";"16761 (-3943, 37465)";"25807 (-1042, 52657)";"46453 (-1876,  94783)";"40%"
"2015-02-22";"101";"101326 ( -2723, 205375)";"2134 (-482, 4750)";" 535298 (-30673, 1101269)";"10924 (-2113, 23961)";"125505 (-23839, 274849)";" 85021 (-19003, 189045)";"16459 (-3907, 36825)";"25370 (-1130, 51870)";"45666 (-2033,  93366)";"40%"
"2015-02-21";"100";" 99192 ( -2255, 200638)";"2098 (-482, 4678)";" 524374 (-28666, 1077413)";"10754 (-2154, 23661)";"123561 (-24332, 271455)";" 83582 (-19049, 186214)";"16160 (-3865, 36184)";"24936 (-1206, 51077)";"44884 (-2171,  91939)";"40%"
"2015-02-20";"99";" 97094 ( -1785, 195972)";"2062 (-482, 4606)";" 513620 (-26610, 1053850)";"10584 (-2189, 23356)";"121622 (-24762, 268006)";" 82152 (-19057, 183362)";"15863 (-3817, 35543)";"24504 (-1272, 50280)";"44107 (-2290,  90504)";"40%"
"2015-02-19";"98";" 95032 ( -1315, 191378)";"2026 (-481, 4533)";" 503036 (-24512, 1030585)";"10414 (-2218, 23047)";"119689 (-25129, 264507)";" 80731 (-19028, 180491)";"15570 (-3763, 34902)";"24075 (-1329, 49479)";"43335 (-2391,  89062)";"40%"
"2015-02-18";"97";" 93006 (  -845, 186857)";"1990 (-479, 4460)";" 492622 (-22378, 1007622)";"10246 (-2242, 22734)";"117762 (-25435, 260959)";" 79321 (-18963, 177604)";"15279 (-3703, 34261)";"23650 (-1375, 48675)";"42570 (-2475,  87615)";"40%"
"2015-02-17";"96";" 91015 (  -377, 182408)";"1955 (-476, 4386)";" 482376 (-20215,  984967)";"10078 (-2261, 22417)";"115843 (-25681, 257367)";" 77920 (-18863, 174703)";"14991 (-3639, 33622)";"23228 (-1412, 47868)";"41810 (-2542,  86162)";"40%"
"2015-02-16";"95";" 89060 (    88, 178032)";"1920 (-472, 4312)";" 472298 (-18027,  962623)";" 9911 (-2275, 22096)";"113932 (-25868, 253733)";" 76531 (-18729, 171792)";"14707 (-3570, 32984)";"22810 (-1440, 47059)";"41057 (-2592,  84706)";"40%"
"2015-02-15";"94";" 87140 (   550, 173730)";"1885 (-468, 4238)";" 462388 (-15820,  940596)";" 9744 (-2284, 21773)";"112031 (-25999, 250061)";" 75154 (-18565, 168872)";"14425 (-3497, 32348)";"22395 (-1459, 46249)";"40311 (-2627,  83248)";"40%"
"2015-02-14";"93";" 85255 (  1008, 169501)";"1851 (-462, 4164)";" 452643 (-13600,  918887)";" 9579 (-2288, 21446)";"110140 (-26074, 246354)";" 73788 (-18369, 165946)";"14147 (-3420, 31715)";"21984 (-1470, 45438)";"39571 (-2647,  81789)";"40%"
"2015-02-13";"92";" 83404 (  1461, 165346)";"1817 (-456, 4090)";" 443065 (-11372,  897501)";" 9414 (-2288, 21117)";"108260 (-26096, 242615)";" 72435 (-18146, 163016)";"13873 (-3339, 31084)";"21577 (-1473, 44627)";"38838 (-2652,  80329)";"40%"
"2015-02-12";"91";" 81587 (  1908, 161265)";"1783 (-450, 4016)";" 433650 ( -9141,  876441)";" 9251 (-2283, 20785)";"106391 (-26065, 238848)";" 71095 (-17895, 160084)";"13601 (-3255, 30457)";"21174 (-1469, 43817)";"38113 (-2644,  78871)";"40%"
"2015-02-11";"90";" 79804 (  2348, 157259)";"1750 (-442, 3942)";" 424399 ( -6912,  855710)";" 9089 (-2274, 20452)";"104536 (-25985, 235056)";" 69768 (-17618, 157154)";"13333 (-3167, 29834)";"20775 (-1457, 43008)";"37396 (-2623,  77414)";"40%"
"2015-02-10";"89";" 78054 (  2782, 153326)";"1717 (-434, 3868)";" 415310 ( -4689,  835310)";" 8928 (-2261, 20117)";"102693 (-25857, 231243)";" 68455 (-17317, 154227)";"13069 (-3077, 29215)";"20381 (-1439, 42201)";"36686 (-2590,  75961)";"40%"
"2015-02-09";"88";" 76337 (  3207, 149467)";"1684 (-426, 3794)";" 406382 ( -2478,  815242)";" 8768 (-2244, 19780)";"100865 (-25683, 227412)";" 67156 (-16994, 151305)";"12808 (-2984, 28601)";"19991 (-1414, 41396)";"35984 (-2545,  74512)";"40%"
"2015-02-08";"87";" 74653 (  3624, 145682)";"1652 (-417, 3720)";" 397614 (  -282,  795510)";" 8610 (-2223, 19442)";" 99051 (-25464, 223566)";" 65871 (-16649, 148391)";"12551 (-2890, 27991)";"19605 (-1383, 40593)";"35290 (-2489,  73068)";"40%"
"2015-02-07";"86";" 73002 (  4032, 141971)";"1620 (-408, 3647)";" 389004 (  1895,  776114)";" 8453 (-2198, 19103)";" 97252 (-25203, 219708)";" 64601 (-16286, 145487)";"12297 (-2793, 27387)";"19224 (-1346, 39795)";"34604 (-2423,  71631)";"40%"
