"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-03-22";"108";"21272 (11171, 31373)";"168 ( -22, 359)";"101193 (48765, 153621)";" 787 (-165, 1740)";" 9002 ( -1931, 19936)";"6674 ( -902, 14250)";"1429 (  -82, 2939)";"2026 (   94, 3957)";"3646 (  170,  7122)";"40%"
"2015-03-21";"107";"21103 (11191, 31015)";"167 ( -20, 355)";"100406 (48924, 151887)";" 783 (-157, 1722)";" 8950 ( -1835, 19734)";"6635 ( -835, 14105)";"1420 (  -69, 2910)";"2014 (  110, 3918)";"3625 (  197,  7053)";"40%"
"2015-03-20";"106";"20936 (11211, 30661)";"167 ( -19, 352)";" 99623 (49075, 150171)";" 778 (-148, 1705)";" 8897 ( -1739, 19534)";"6597 ( -769, 13962)";"1412 (  -55, 2880)";"2002 (  125, 3880)";"3604 (  225,  6983)";"40%"
"2015-03-19";"105";"20769 (11228, 30311)";"166 ( -17, 348)";" 98845 (49217, 148472)";" 774 (-140, 1688)";" 8845 ( -1645, 19336)";"6558 ( -703, 13820)";"1404 (  -42, 2851)";"1991 (  140, 3842)";"3583 (  251,  6915)";"40%"
"2015-03-18";"104";"20604 (11244, 29964)";"165 ( -15, 345)";" 98071 (49351, 146790)";" 769 (-132, 1670)";" 8794 ( -1552, 19140)";"6520 ( -639, 13680)";"1396 (  -29, 2822)";"1979 (  154, 3804)";"3563 (  278,  6847)";"40%"
"2015-03-17";"103";"20439 (11258, 29620)";"164 ( -14, 341)";" 97302 (49478, 145126)";" 765 (-124, 1653)";" 8742 ( -1461, 18946)";"6483 ( -575, 13541)";"1388 (  -16, 2793)";"1968 (  169, 3767)";"3542 (  304,  6780)";"40%"
"2015-03-16";"102";"20276 (11271, 29280)";"163 ( -12, 338)";" 96537 (49597, 143478)";" 760 (-116, 1637)";" 8691 ( -1370, 18753)";"6446 ( -512, 13403)";"1380 (   -4, 2765)";"1956 (  183, 3730)";"3522 (  329,  6714)";"40%"
"2015-03-15";"101";"20113 (11282, 28944)";"162 ( -11, 334)";" 95777 (49707, 141847)";" 756 (-109, 1620)";" 8641 ( -1281, 18563)";"6408 ( -450, 13267)";"1373 (    9, 2737)";"1945 (  197, 3693)";"3501 (  355,  6648)";"40%"
"2015-03-14";"100";"19951 (11292, 28610)";"161 (  -9, 331)";" 95021 (49810, 140232)";" 751 (-101, 1604)";" 8591 ( -1193, 18375)";"6372 ( -389, 13132)";"1365 (   21, 2709)";"1934 (  211, 3657)";"3481 (  380,  6583)";"40%"
"2015-03-13";"99";"19790 (11300, 28281)";"160 (  -8, 327)";" 94270 (49906, 138634)";" 747 ( -93, 1587)";" 8541 ( -1106, 18188)";"6335 ( -328, 12999)";"1357 (   33, 2681)";"1923 (  225, 3621)";"3461 (  404,  6519)";"40%"
"2015-03-12";"98";"19630 (11306, 27954)";"159 (  -6, 324)";" 93523 (49994, 137052)";" 743 ( -86, 1571)";" 8491 ( -1021, 18003)";"6299 ( -269, 12867)";"1349 (   45, 2654)";"1912 (  238, 3586)";"3442 (  428,  6455)";"40%"
"2015-03-11";"97";"19471 (11311, 27631)";"158 (  -5, 321)";" 92780 (50075, 135486)";" 738 ( -78, 1555)";" 8442 (  -936, 17820)";"6263 ( -210, 12736)";"1342 (   57, 2627)";"1901 (  251, 3551)";"3422 (  452,  6392)";"40%"
"2015-03-10";"96";"19313 (11315, 27311)";"157 (  -3, 318)";" 92042 (50148, 133935)";" 734 ( -71, 1539)";" 8393 (  -853, 17639)";"6227 ( -152, 12606)";"1334 (   68, 2600)";"1890 (  264, 3516)";"3403 (  476,  6329)";"40%"
"2015-03-09";"95";"19156 (11317, 26995)";"156 (  -2, 314)";" 91308 (50215, 132401)";" 730 ( -64, 1524)";" 8345 (  -770, 17460)";"6191 (  -95, 12478)";"1327 (   80, 2574)";"1880 (  277, 3482)";"3383 (  499,  6267)";"40%"
"2015-03-08";"94";"19000 (11318, 26681)";"155 (   0, 311)";" 90578 (50274, 130882)";" 726 ( -57, 1508)";" 8297 (  -689, 17283)";"6156 (  -39, 12351)";"1319 (   91, 2548)";"1869 (  290, 3448)";"3364 (  522,  6206)";"40%"
"2015-03-07";"93";"18844 (11317, 26371)";"155 (   1, 308)";" 89852 (50326, 129378)";" 722 ( -50, 1493)";" 8249 (  -609, 17107)";"6121 (   17, 12226)";"1312 (  102, 2522)";"1858 (  302, 3414)";"3345 (  544,  6145)";"40%"
"2015-03-06";"92";"18690 (11316, 26064)";"154 (   2, 305)";" 89131 (50371, 127890)";" 717 ( -43, 1478)";" 8202 (  -530, 16933)";"6086 (   71, 12101)";"1304 (  113, 2496)";"1848 (  315, 3381)";"3326 (  567,  6085)";"40%"
"2015-03-05";"91";"18536 (11312, 25760)";"153 (   4, 302)";" 88413 (50410, 126417)";" 713 ( -36, 1463)";" 8154 (  -452, 16761)";"6052 (  125, 11978)";"1297 (  124, 2471)";"1837 (  327, 3348)";"3307 (  588,  6026)";"40%"
"2015-03-04";"90";"18383 (11307, 25459)";"152 (   5, 299)";" 87700 (50442, 124958)";" 709 ( -30, 1448)";" 8108 (  -375, 16591)";"6018 (  179, 11857)";"1290 (  134, 2446)";"1827 (  339, 3315)";"3288 (  610,  5967)";"40%"
"2015-03-03";"89";"18231 (11301, 25161)";"151 (   7, 296)";" 86991 (50467, 123515)";" 705 ( -23, 1433)";" 8061 (  -299, 16422)";"5984 (  231, 11736)";"1283 (  145, 2421)";"1817 (  351, 3283)";"3270 (  631,  5909)";"40%"
"2015-03-02";"88";"18080 (11294, 24866)";"150 (   8, 293)";" 86286 (50486, 122086)";" 701 ( -16, 1419)";" 8015 (  -225, 16255)";"5950 (  283, 11617)";"1276 (  155, 2396)";"1806 (  362, 3250)";"3251 (  652,  5851)";"40%"
"2015-03-01";"87";"17930 (11286, 24575)";"149 (   9, 290)";" 85585 (50498, 120671)";" 697 ( -10, 1404)";" 7969 (  -151, 16090)";"5916 (  334, 11499)";"1268 (  165, 2372)";"1796 (  374, 3219)";"3233 (  673,  5794)";"40%"
"2015-02-28";"86";"17781 (11276, 24286)";"149 (  10, 287)";" 84888 (50504, 119271)";" 693 (  -4, 1390)";" 7924 (   -78, 15926)";"5883 (  384, 11382)";"1261 (  175, 2348)";"1786 (  385, 3187)";"3215 (  693,  5737)";"40%"
"2015-02-27";"85";"17632 (11265, 24000)";"148 (  12, 284)";" 84194 (50504, 117885)";" 689 (   3, 1376)";" 7879 (    -7, 15764)";"5850 (  434, 11266)";"1254 (  185, 2324)";"1776 (  396, 3156)";"3197 (  713,  5681)";"40%"
"2015-02-26";"84";"17484 (11252, 23717)";"147 (  13, 281)";" 83505 (50497, 116513)";" 685 (   9, 1362)";" 7834 (    64, 15604)";"5817 (  483, 11151)";"1247 (  195, 2300)";"1766 (  407, 3125)";"3179 (  732,  5626)";"40%"
"2015-02-25";"83";"17338 (11239, 23437)";"146 (  14, 278)";" 82820 (50485, 115156)";" 681 (  15, 1348)";" 7790 (   134, 15445)";"5784 (  531, 11038)";"1241 (  204, 2277)";"1756 (  418, 3095)";"3161 (  752,  5571)";"40%"
"2015-02-24";"82";"17192 (11224, 23159)";"145 (  15, 275)";" 82139 (50466, 113811)";" 677 (  21, 1334)";" 7745 (   203, 15288)";"5752 (  579, 10926)";"1234 (  214, 2254)";"1746 (  428, 3065)";"3144 (  771,  5517)";"40%"
"2015-02-23";"81";"17046 (11208, 22885)";"144 (  16, 272)";" 81461 (50442, 112481)";" 674 (  27, 1321)";" 7702 (   270, 15133)";"5720 (  625, 10815)";"1227 (  223, 2231)";"1737 (  439, 3035)";"3126 (  789,  5463)";"40%"
"2015-02-22";"80";"16902 (11191, 22613)";"144 (  18, 270)";" 80788 (50411, 111164)";" 670 (  32, 1307)";" 7658 (   337, 14979)";"5688 (  671, 10705)";"1220 (  232, 2208)";"1727 (  449, 3005)";"3109 (  808,  5410)";"40%"
"2015-02-21";"79";"16758 (11173, 22344)";"143 (  19, 267)";" 80118 (50375, 109860)";" 666 (  38, 1294)";" 7615 (   403, 14826)";"5656 (  717, 10596)";"1214 (  241, 2186)";"1717 (  459, 2976)";"3091 (  826,  5357)";"40%"
"2015-02-20";"78";"16616 (11153, 22078)";"142 (  20, 264)";" 79452 (50333, 108570)";" 662 (  44, 1281)";" 7572 (   468, 14676)";"5625 (  762, 10488)";"1207 (  250, 2163)";"1708 (  469, 2947)";"3074 (  844,  5305)";"40%"
"2015-02-19";"77";"16474 (11133, 21814)";"141 (  21, 261)";" 78789 (50286, 107292)";" 659 (  49, 1268)";" 7529 (   532, 14526)";"5594 (  806, 10382)";"1200 (  259, 2141)";"1699 (  479, 2918)";"3057 (  862,  5253)";"40%"
"2015-02-18";"76";"16332 (11111, 21553)";"140 (  22, 259)";" 78131 (50233, 106028)";" 655 (  55, 1255)";" 7487 (   595, 14379)";"5563 (  850, 10276)";"1194 (  268, 2120)";"1689 (  488, 2890)";"3040 (  879,  5202)";"40%"
"2015-02-17";"75";"16192 (11089, 21295)";"140 (  23, 256)";" 77476 (50175, 104776)";" 651 (  60, 1242)";" 7445 (   658, 14233)";"5532 (  892, 10172)";"1187 (  276, 2098)";"1680 (  498, 2862)";"3024 (  896,  5151)";"40%"
"2015-02-16";"74";"16052 (11065, 21039)";"139 (  24, 254)";" 76824 (50112, 103537)";" 648 (  66, 1229)";" 7403 (   719, 14088)";"5501 (  935, 10068)";"1181 (  285, 2077)";"1671 (  507, 2834)";"3007 (  913,  5101)";"40%"
"2015-02-15";"73";"15913 (11040, 20786)";"138 (  25, 251)";" 76177 (50043, 102311)";" 644 (  71, 1217)";" 7362 (   779, 13945)";"5471 (  976,  9966)";"1174 (  293, 2056)";"1661 (  516, 2806)";"2990 (  929,  5052)";"40%"
"2015-02-14";"72";"15775 (11014, 20536)";"137 (  26, 248)";" 75533 (49969, 101097)";" 640 (  76, 1205)";" 7321 (   839, 13803)";"5441 ( 1017,  9865)";"1168 (  301, 2035)";"1652 (  525, 2779)";"2974 (  946,  5003)";"40%"
