"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-03-31";"120";"27932 (19559, 36306)";"  259 (  109,   408)";"133775 ( 90642, 176908)";"  1229 (   489,   1969)";"14064 (5573, 22554)";"10263 (4325, 16201)";"2161 (967, 3356)";"3106 (1592, 4620)";"5591 (2865,  8317)";"40%"
"2015-03-30";"119";"27674 (19449, 35898)";"  257 (  109,   404)";"132546 ( 90153, 174940)";"  1220 (   489,   1950)";"13956 (5572, 22341)";"10185 (4323, 16046)";"2145 (966, 3323)";"3082 (1588, 4577)";"5548 (2858,  8239)";"40%"
"2015-03-29";"118";"27417 (19339, 35494)";"  255 (  109,   400)";"131327 ( 89664, 172990)";"  1210 (   489,   1932)";"13850 (5570, 22130)";"10107 (4320, 15893)";"2128 (965, 3291)";"3059 (1583, 4534)";"5506 (2850,  8162)";"40%"
"2015-03-28";"117";"27162 (19230, 35094)";"  253 (  109,   397)";"130116 ( 89174, 171059)";"  1201 (   488,   1914)";"13744 (5568, 21920)";"10029 (4318, 15740)";"2112 (964, 3259)";"3035 (1579, 4492)";"5463 (2842,  8085)";"40%"
"2015-03-27";"116";"26909 (19121, 34697)";"  251 (  109,   393)";"128915 ( 88686, 169145)";"  1192 (   488,   1895)";"13639 (5566, 21712)";" 9952 (4315, 15589)";"2096 (964, 3228)";"3012 (1575, 4449)";"5421 (2834,  8009)";"40%"
"2015-03-26";"115";"26658 (19011, 34305)";"  249 (  109,   389)";"127724 ( 88197, 167251)";"  1183 (   488,   1877)";"13535 (5564, 21505)";" 9876 (4312, 15439)";"2079 (963, 3196)";"2989 (1570, 4407)";"5380 (2826,  7933)";"40%"
"2015-03-25";"114";"26409 (18902, 33916)";"  247 (  109,   385)";"126541 ( 87708, 165374)";"  1174 (   488,   1860)";"13431 (5561, 21301)";" 9800 (4309, 15290)";"2063 (962, 3165)";"2966 (1566, 4366)";"5338 (2818,  7858)";"40%"
"2015-03-24";"113";"26162 (18793, 33531)";"  245 (  109,   382)";"125367 ( 87220, 163515)";"  1165 (   487,   1842)";"13328 (5559, 21098)";" 9725 (4306, 15143)";"2048 (961, 3134)";"2943 (1561, 4325)";"5297 (2811,  7784)";"40%"
"2015-03-23";"112";"25916 (18684, 33149)";"  243 (  109,   378)";"124203 ( 86732, 161674)";"  1156 (   487,   1824)";"13226 (5556, 20896)";" 9650 (4303, 14997)";"2032 (960, 3104)";"2920 (1557, 4284)";"5257 (2803,  7711)";"40%"
"2015-03-22";"111";"25673 (18575, 32771)";"  241 (  109,   374)";"123047 ( 86244, 159850)";"  1147 (   487,   1807)";"13125 (5553, 20696)";" 9576 (4300, 14852)";"2016 (959, 3073)";"2898 (1553, 4243)";"5216 (2795,  7638)";"40%"
"2015-03-21";"110";"25432 (18466, 32397)";"  240 (  109,   371)";"121900 ( 85756, 158044)";"  1138 (   487,   1789)";"13024 (5550, 20498)";" 9502 (4296, 14708)";"2001 (958, 3043)";"2876 (1548, 4203)";"5176 (2787,  7565)";"40%"
"2015-03-20";"109";"25192 (18357, 32027)";"  238 (  109,   367)";"120762 ( 85269, 156255)";"  1129 (   486,   1772)";"12924 (5547, 20301)";" 9429 (4293, 14565)";"1985 (957, 3013)";"2854 (1544, 4163)";"5136 (2779,  7493)";"40%"
"2015-03-19";"108";"24954 (18248, 31660)";"  236 (  109,   363)";"119633 ( 84782, 154483)";"  1121 (   486,   1755)";"12825 (5543, 20106)";" 9356 (4289, 14424)";"1970 (956, 2984)";"2832 (1540, 4123)";"5097 (2771,  7422)";"40%"
"2015-03-18";"107";"24718 (18139, 31297)";"  234 (  108,   360)";"118512 ( 84295, 152729)";"  1112 (   486,   1738)";"12726 (5540, 19913)";" 9284 (4285, 14283)";"1955 (955, 2954)";"2810 (1535, 4084)";"5058 (2764,  7352)";"40%"
"2015-03-17";"106";"24484 (18031, 30937)";"  232 (  108,   356)";"117400 ( 83809, 150991)";"  1104 (   485,   1722)";"12629 (5536, 19721)";" 9213 (4282, 14144)";"1940 (954, 2925)";"2788 (1531, 4045)";"5019 (2756,  7281)";"40%"
"2015-03-16";"105";"24252 (17922, 30581)";"  231 (  108,   353)";"116296 ( 83323, 149270)";"  1095 (   485,   1705)";"12532 (5532, 19531)";" 9142 (4278, 14006)";"1925 (953, 2896)";"2767 (1527, 4007)";"4980 (2748,  7212)";"40%"
"2015-03-15";"104";"24021 (17814, 30228)";"  229 (  108,   349)";"115201 ( 82837, 147565)";"  1087 (   485,   1688)";"12435 (5528, 19342)";" 9071 (4274, 13869)";"1910 (952, 2868)";"2745 (1522, 3968)";"4941 (2740,  7143)";"40%"
"2015-03-14";"103";"23792 (17706, 29879)";"  227 (  108,   346)";"114115 ( 82352, 145878)";"  1078 (   484,   1672)";"12340 (5524, 19155)";" 9001 (4269, 13734)";"1895 (951, 2839)";"2724 (1518, 3930)";"4903 (2732,  7075)";"40%"
"2015-03-13";"102";"23565 (17597, 29533)";"  225 (  108,   343)";"113037 ( 81867, 144206)";"  1070 (   484,   1656)";"12245 (5520, 18970)";" 8932 (4265, 13599)";"1880 (949, 2811)";"2703 (1513, 3893)";"4866 (2724,  7007)";"40%"
"2015-03-12";"101";"23340 (17489, 29191)";"  224 (  108,   339)";"111967 ( 81382, 142551)";"  1062 (   484,   1640)";"12151 (5515, 18786)";" 8863 (4261, 13466)";"1866 (948, 2783)";"2682 (1509, 3855)";"4828 (2716,  6940)";"40%"
"2015-03-11";"100";"23116 (17381, 28851)";"  222 (  108,   336)";"110905 ( 80898, 140911)";"  1054 (   483,   1624)";"12057 (5511, 18603)";" 8795 (4256, 13333)";"1851 (947, 2756)";"2662 (1505, 3818)";"4791 (2708,  6873)";"40%"
"2015-03-10";"99";"22895 (17274, 28516)";"  220 (  108,   333)";"109851 ( 80414, 139288)";"  1045 (   483,   1608)";"11964 (5506, 18422)";" 8727 (4252, 13202)";"1837 (946, 2728)";"2641 (1500, 3782)";"4754 (2700,  6807)";"40%"
"2015-03-09";"98";"22675 (17166, 28183)";"  218 (  107,   329)";"108806 ( 79931, 137681)";"  1037 (   482,   1592)";"11872 (5501, 18243)";" 8660 (4247, 13072)";"1823 (945, 2701)";"2621 (1496, 3745)";"4717 (2693,  6742)";"40%"
"2015-03-08";"97";"22456 (17058, 27854)";"  217 (  107,   326)";"107768 ( 79448, 136089)";"  1029 (   482,   1577)";"11781 (5496, 18065)";" 8593 (4242, 12943)";"1809 (943, 2674)";"2600 (1491, 3709)";"4681 (2685,  6677)";"40%"
