"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-01-05";"54";"10800 ( 4727,  16873)";" 5400 (2363,  8437)";" 5400 (2363,  8437)";"1080 ( 473,  1687)";"10800 ( 4727,  16873)";" 22680 (15217,  30143)"
"2015-01-04";"53";"10586 ( 4715,  16457)";" 5293 (2357,  8229)";" 5293 (2357,  8229)";"1059 ( 472,  1646)";"10586 ( 4715,  16457)";" 22231 (15016,  29446)"
"2015-01-03";"52";"10377 ( 4702,  16052)";" 5188 (2351,  8025)";" 5188 (2351,  8025)";"1038 ( 471,  1605)";"10377 ( 4702,  16052)";" 21791 (14818,  28764)"
"2015-01-02";"51";"10173 ( 4688,  15658)";" 5086 (2344,  7828)";" 5086 (2344,  7828)";"1017 ( 469,  1565)";"10173 ( 4688,  15658)";" 21362 (14622,  28102)"
"2015-01-01";"50";" 9973 ( 4673,  15273)";" 4986 (2336,  7636)";" 4986 (2336,  7636)";" 997 ( 467,  1527)";" 9973 ( 4673,  15273)";" 20942 (14429,  27455)"
"2014-12-31";"49";" 9778 ( 4657,  14899)";" 4889 (2329,  7449)";" 4889 (2329,  7449)";" 978 ( 466,  1490)";" 9778 ( 4657,  14899)";" 20534 (14241,  26827)"
"2014-12-30";"48";" 9586 ( 4639,  14533)";" 4793 (2319,  7267)";" 4793 (2319,  7267)";" 959 ( 464,  1454)";" 9586 ( 4639,  14533)";" 20131 (14052,  26210)"
"2014-12-29";"47";" 9399 ( 4620,  14178)";" 4700 (2310,  7090)";" 4700 (2310,  7090)";" 940 ( 462,  1418)";" 9399 ( 4620,  14178)";" 19739 (13866,  25612)"
"2014-12-28";"46";" 9216 ( 4600,  13832)";" 4608 (2300,  6916)";" 4608 (2300,  6916)";" 922 ( 460,  1384)";" 9216 ( 4600,  13832)";" 19354 (13682,  25026)"
"2014-12-27";"45";" 9038 ( 4580,  13496)";" 4519 (2290,  6748)";" 4519 (2290,  6748)";" 904 ( 458,  1350)";" 9038 ( 4580,  13496)";" 18980 (13502,  24458)"
"2014-12-26";"44";" 8863 ( 4559,  13167)";" 4432 (2280,  6584)";" 4432 (2280,  6584)";" 886 ( 456,  1316)";" 8863 ( 4559,  13167)";" 18613 (13324,  23902)"
"2014-12-25";"43";" 8692 ( 4536,  12848)";" 4346 (2268,  6424)";" 4346 (2268,  6424)";" 869 ( 453,  1285)";" 8692 ( 4536,  12848)";" 18253 (13146,  23360)"
"2014-12-24";"42";" 8524 ( 4512,  12536)";" 4262 (2256,  6268)";" 4262 (2256,  6268)";" 852 ( 451,  1253)";" 8524 ( 4512,  12536)";" 17900 (12970,  22830)"
"2014-12-23";"41";" 8361 ( 4488,  12234)";" 4180 (2244,  6116)";" 4180 (2244,  6116)";" 836 ( 449,  1223)";" 8361 ( 4488,  12234)";" 17557 (12798,  22316)"
"2014-12-22";"40";" 8201 ( 4463,  11939)";" 4100 (2231,  5969)";" 4100 (2231,  5969)";" 820 ( 446,  1194)";" 8201 ( 4463,  11939)";" 17221 (12628,  21814)"
"2014-12-21";"39";" 8044 ( 4437,  11651)";" 4022 (2219,  5825)";" 4022 (2219,  5825)";" 804 ( 443,  1165)";" 8044 ( 4437,  11651)";" 16892 (12460,  21324)"
"2014-12-20";"38";" 7891 ( 4411,  11371)";" 3946 (2206,  5686)";" 3946 (2206,  5686)";" 789 ( 441,  1137)";" 7891 ( 4411,  11371)";" 16572 (12296,  20848)"
"2014-12-19";"37";" 7741 ( 4384,  11098)";" 3870 (2191,  5549)";" 3870 (2191,  5549)";" 774 ( 438,  1110)";" 7741 ( 4384,  11098)";" 16255 (12129,  20381)"
"2014-12-18";"36";" 7595 ( 4356,  10834)";" 3798 (2179,  5417)";" 3798 (2179,  5417)";" 760 ( 436,  1084)";" 7595 ( 4356,  10834)";" 15951 (11971,  19931)"
