"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-03-14";"122";" 90712 ( 9741, 171683)";"100 (11, 189)";"204 ( 22, 386)";"50 ( 5,  95)";"113 (12, 214)";"150 (16, 284)";"304 ( 33, 575)";"150 (16, 284)";"404 ( 44,  764)";"150 (16, 284)";" 807 ( 86, 1528)";"231 ( 25, 437)";"100 (11, 189)";"127 (14, 240)";"2890 (1945, 3835)"
"2015-03-13";"121";" 88977 ( 9533, 168421)";" 98 (11, 185)";"200 ( 21, 379)";"49 ( 5,  93)";"111 (12, 210)";"147 (16, 278)";"298 ( 32, 564)";"147 (16, 278)";"396 ( 42,  750)";"147 (16, 278)";" 792 ( 85, 1499)";"227 ( 24, 430)";" 98 (11, 185)";"125 (14, 236)";"2835 (1908, 3762)"
"2015-03-12";"120";" 87258 ( 9340, 165176)";" 96 (10, 182)";"196 ( 21, 371)";"48 ( 5,  91)";"109 (12, 206)";"144 (15, 273)";"292 ( 31, 553)";"144 (15, 273)";"388 ( 41,  735)";"144 (15, 273)";" 777 ( 84, 1470)";"223 ( 24, 422)";" 96 (10, 182)";"122 (13, 231)";"2779 (1870, 3688)"
"2015-03-11";"119";" 85557 ( 9164, 161950)";" 94 (10, 178)";"193 ( 21, 365)";"47 ( 5,  89)";"107 (12, 202)";"141 (15, 267)";"287 ( 31, 543)";"141 (15, 267)";"381 ( 41,  721)";"141 (15, 267)";" 761 ( 81, 1441)";"218 ( 23, 413)";" 94 (10, 178)";"120 (13, 227)";"2725 (1833, 3617)"
"2015-03-10";"118";" 83873 ( 9003, 158743)";" 92 (10, 174)";"189 ( 21, 357)";"46 ( 5,  87)";"105 (11, 199)";"138 (14, 262)";"281 ( 30, 532)";"138 (14, 262)";"373 ( 40,  706)";"138 (14, 262)";" 746 ( 80, 1412)";"214 ( 23, 405)";" 92 (10, 174)";"117 (12, 222)";"2669 (1795, 3543)"
"2015-03-09";"117";" 82208 ( 8856, 155560)";" 90 ( 9, 171)";"185 ( 20, 350)";"45 ( 5,  85)";"103 (11, 195)";"136 (15, 257)";"275 ( 29, 521)";"136 (15, 257)";"366 ( 40,  692)";"136 (15, 257)";" 732 ( 79, 1385)";"210 ( 23, 397)";" 90 ( 9, 171)";"115 (12, 218)";"2619 (1763, 3475)"
"2015-03-08";"116";" 80562 ( 8722, 152402)";" 89 (10, 168)";"181 ( 19, 343)";"44 ( 4,  84)";"101 (11, 191)";"133 (14, 252)";"270 ( 29, 511)";"133 (14, 252)";"359 ( 39,  679)";"133 (14, 252)";" 717 ( 78, 1356)";"205 ( 22, 388)";" 89 (10, 168)";"113 (12, 214)";"2567 (1729, 3405)"
"2015-03-07";"115";" 78936 ( 8601, 149271)";" 87 (10, 164)";"178 ( 20, 336)";"43 ( 4,  82)";" 99 (11, 187)";"130 (14, 246)";"264 ( 28, 500)";"130 (14, 246)";"351 ( 38,  664)";"130 (14, 246)";" 703 ( 77, 1329)";"201 ( 22, 380)";" 87 (10, 164)";"111 (13, 209)";"2514 (1693, 3335)"
"2015-03-06";"114";" 77329 ( 8492, 146166)";" 85 ( 9, 161)";"174 ( 19, 329)";"43 ( 5,  81)";" 97 (11, 183)";"128 (14, 242)";"259 ( 28, 490)";"128 (14, 242)";"344 ( 38,  650)";"128 (14, 242)";" 688 ( 75, 1301)";"197 ( 21, 373)";" 85 ( 9, 161)";"108 (12, 204)";"2464 (1661, 3267)"
"2015-03-05";"113";" 75743 ( 8394, 143092)";" 83 ( 9, 157)";"170 ( 18, 322)";"42 ( 5,  79)";" 95 (11, 179)";"125 (14, 236)";"254 ( 28, 480)";"125 (14, 236)";"337 ( 37,  637)";"125 (14, 236)";" 674 ( 75, 1273)";"193 ( 21, 365)";" 83 ( 9, 157)";"106 (12, 200)";"2412 (1626, 3198)"
"2015-03-04";"112";" 74177 ( 8305, 140049)";" 82 (10, 154)";"167 ( 19, 315)";"41 ( 5,  77)";" 93 (11, 175)";"122 (13, 231)";"248 ( 27, 469)";"122 (13, 231)";"330 ( 37,  623)";"122 (13, 231)";" 660 ( 74, 1246)";"189 ( 21, 357)";" 82 (10, 154)";"104 (12, 196)";"2362 (1593, 3131)"
"2015-03-03";"111";" 72633 ( 8227, 137039)";" 80 ( 9, 151)";"163 ( 18, 308)";"40 ( 5,  75)";" 91 (10, 172)";"120 (14, 226)";"243 ( 27, 459)";"120 (14, 226)";"323 ( 36,  610)";"120 (14, 226)";" 646 ( 73, 1219)";"185 ( 21, 349)";" 80 ( 9, 151)";"102 (12, 192)";"2313 (1561, 3065)"
"2015-03-02";"110";" 71109 ( 8157, 134061)";" 78 ( 9, 147)";"160 ( 18, 302)";"39 ( 4,  74)";" 89 (10, 168)";"117 (13, 221)";"238 ( 27, 449)";"117 (13, 221)";"316 ( 36,  596)";"117 (13, 221)";" 633 ( 73, 1193)";"181 ( 20, 342)";" 78 ( 9, 147)";"100 (12, 188)";"2263 (1528, 2998)"
"2015-03-01";"109";" 69608 ( 8096, 131120)";" 77 ( 9, 145)";"157 ( 19, 295)";"38 ( 4,  72)";" 87 (10, 164)";"115 (14, 216)";"233 ( 27, 439)";"115 (14, 216)";"310 ( 36,  584)";"115 (14, 216)";" 620 ( 73, 1167)";"178 ( 21, 335)";" 77 ( 9, 145)";" 97 (11, 183)";"2219 (1501, 2937)"
"2015-02-28";"108";" 68128 ( 8042, 128214)";" 75 ( 9, 141)";"153 ( 18, 288)";"37 ( 4,  70)";" 85 (10, 160)";"112 (13, 211)";"228 ( 27, 429)";"112 (13, 211)";"303 ( 36,  570)";"112 (13, 211)";" 606 ( 71, 1141)";"174 ( 21, 327)";" 75 ( 9, 141)";" 95 (11, 179)";"2167 (1466, 2868)"
"2015-02-27";"107";" 66671 ( 7996, 125346)";" 73 ( 8, 138)";"150 ( 18, 282)";"37 ( 5,  69)";" 83 (10, 156)";"110 (13, 207)";"223 ( 26, 420)";"110 (13, 207)";"297 ( 36,  558)";"110 (13, 207)";" 593 ( 71, 1115)";"170 ( 20, 320)";" 73 ( 8, 138)";" 93 (11, 175)";"2122 (1437, 2807)"
"2015-02-26";"106";" 65235 ( 7954, 122516)";" 72 ( 9, 135)";"147 ( 18, 276)";"36 ( 4,  68)";" 82 (10, 154)";"108 (13, 203)";"219 ( 27, 411)";"108 (13, 203)";"290 ( 35,  545)";"108 (13, 203)";" 581 ( 71, 1091)";"166 ( 20, 312)";" 72 ( 9, 135)";" 91 (11, 171)";"2080 (1411, 2749)"
"2015-02-25";"105";" 63822 ( 7919, 119725)";" 70 ( 9, 131)";"144 ( 18, 270)";"35 ( 4,  66)";" 80 (10, 150)";"105 (13, 197)";"214 ( 27, 401)";"105 (13, 197)";"284 ( 35,  533)";"105 (13, 197)";" 568 ( 70, 1066)";"163 ( 20, 306)";" 70 ( 9, 131)";" 89 (11, 167)";"2032 (1380, 2684)"
"2015-02-24";"104";" 62431 ( 7889, 116973)";" 69 ( 9, 129)";"140 ( 17, 263)";"34 ( 4,  64)";" 78 (10, 146)";"103 (13, 193)";"209 ( 26, 392)";"103 (13, 193)";"278 ( 35,  521)";"103 (13, 193)";" 556 ( 71, 1041)";"159 ( 20, 298)";" 69 ( 9, 129)";" 87 (11, 163)";"1988 (1351, 2625)"
"2015-02-23";"103";" 61063 ( 7864, 114262)";" 67 ( 8, 126)";"137 ( 17, 257)";"34 ( 5,  63)";" 76 (10, 142)";"101 (13, 189)";"205 ( 27, 383)";"101 (13, 189)";"272 ( 35,  509)";"101 (13, 189)";" 543 ( 70, 1016)";"156 ( 20, 292)";" 67 ( 8, 126)";" 85 (11, 159)";"1945 (1324, 2566)"
"2015-02-22";"102";" 59718 ( 7843, 111593)";" 66 ( 9, 123)";"134 ( 17, 251)";"33 ( 4,  62)";" 75 (10, 140)";" 99 (13, 185)";"200 ( 26, 374)";" 99 (13, 185)";"266 ( 35,  497)";" 99 (13, 185)";" 531 ( 69,  993)";"152 ( 20, 284)";" 66 ( 9, 123)";" 84 (11, 157)";"1904 (1299, 2509)"
"2015-02-21";"101";" 58395 ( 7825, 108965)";" 64 ( 8, 120)";"131 ( 17, 245)";"32 ( 4,  60)";" 73 (10, 136)";" 96 (13, 179)";"196 ( 27, 365)";" 96 (13, 179)";"260 ( 35,  485)";" 96 (13, 179)";" 520 ( 70,  970)";"149 ( 20, 278)";" 64 ( 8, 120)";" 82 (11, 153)";"1859 (1269, 2449)"
"2015-02-20";"100";" 57095 ( 7810, 106380)";" 63 ( 9, 117)";"128 ( 17, 239)";"31 ( 4,  58)";" 71 ( 9, 133)";" 94 (13, 175)";"191 ( 26, 356)";" 94 (13, 175)";"254 ( 35,  473)";" 94 (13, 175)";" 508 ( 69,  947)";"146 ( 20, 272)";" 63 ( 9, 117)";" 80 (11, 149)";"1817 (1242, 2392)"
"2015-02-19";"99";" 55818 ( 7799, 103837)";" 61 ( 8, 114)";"126 ( 18, 234)";"31 ( 5,  57)";" 70 (10, 130)";" 92 (13, 171)";"187 ( 26, 348)";" 92 (13, 171)";"248 ( 34,  462)";" 92 (13, 171)";" 497 ( 70,  924)";"142 ( 20, 264)";" 61 ( 8, 114)";" 78 (11, 145)";"1777 (1217, 2337)"
"2015-02-18";"98";" 54563 ( 7789, 101337)";" 60 ( 9, 111)";"123 ( 18, 228)";"30 ( 4,  56)";" 68 (10, 126)";" 90 (13, 167)";"183 ( 26, 340)";" 90 (13, 167)";"243 ( 35,  451)";" 90 (13, 167)";" 486 ( 70,  902)";"139 ( 20, 258)";" 60 ( 9, 111)";" 76 (11, 141)";"1738 (1192, 2284)"
"2015-02-17";"97";" 53331 ( 7781,  98881)";" 59 ( 9, 109)";"120 ( 18, 222)";"29 ( 4,  54)";" 67 (10, 124)";" 88 (13, 163)";"179 ( 26, 332)";" 88 (13, 163)";"237 ( 34,  440)";" 88 (13, 163)";" 475 ( 70,  880)";"136 ( 20, 252)";" 59 ( 9, 109)";" 75 (11, 139)";"1700 (1168, 2232)"
