"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-27";"107";"13198 ( -6711,  33108)";"249 ( -365,  864)";" 68405 ( -44550, 181361)";"1315 ( -2129,  4760)";"15154 ( -24690,  54998)";" 9955 (-14660,  34570)";"1890 ( -2489,  6269)";" 2961 ( -3289,  9212)";" 5330 ( -5921, 16581)";"40%"
"2015-02-26";"106";"12949 ( -6351,  32249)";"244 ( -352,  840)";" 67090 ( -42444, 176624)";"1288 ( -2058,  4634)";"14837 ( -23866,  53539)";" 9748 (-14153,  33648)";"1851 ( -2399,  6102)";" 2900 ( -3169,  8969)";" 5220 ( -5704, 16143)";"40%"
"2015-02-25";"105";"12705 ( -6003,  31412)";"239 ( -340,  818)";" 65802 ( -40409, 172013)";"1261 ( -1989,  4511)";"14526 ( -23065,  52117)";" 9545 (-13660,  32751)";"1813 ( -2313,  5939)";" 2840 ( -3053,  8732)";" 5111 ( -5495, 15717)";"40%"
"2015-02-24";"104";"12466 ( -5667,  30598)";"234 ( -328,  796)";" 64541 ( -38443, 167525)";"1235 ( -1922,  4391)";"14223 ( -22287,  50732)";" 9347 (-13182,  31876)";"1776 ( -2229,  5780)";" 2781 ( -2940,  8501)";" 5005 ( -5292, 15302)";"40%"
"2015-02-23";"103";"12231 ( -5343,  29806)";"229 ( -316,  775)";" 63307 ( -36543, 163157)";"1209 ( -1856,  4274)";"13925 ( -21531,  49381)";" 9154 (-12718,  31025)";"1739 ( -2147,  5625)";" 2723 ( -2830,  8277)";" 4902 ( -5095, 14898)";"40%"
"2015-02-22";"102";"12002 ( -5031,  29035)";"225 ( -305,  754)";" 62098 ( -34709, 158905)";"1184 ( -1793,  4160)";"13635 ( -20797,  48066)";" 8964 (-12268,  30196)";"1704 ( -2068,  5475)";" 2667 ( -2724,  8058)";" 4800 ( -4904, 14504)";"40%"
"2015-02-21";"101";"11778 ( -4730,  28285)";"220 ( -294,  734)";" 60915 ( -32937, 154766)";"1159 ( -1731,  4049)";"13350 ( -20084,  46784)";" 8779 (-11832,  29389)";"1669 ( -1992,  5329)";" 2612 ( -2621,  7845)";" 4701 ( -4719, 14121)";"40%"
"2015-02-20";"100";"11558 ( -4439,  27555)";"215 ( -284,  714)";" 59756 ( -31226, 150738)";"1135 ( -1671,  3941)";"13072 ( -19392,  45536)";" 8597 (-11409,  28603)";"1634 ( -1918,  5187)";" 2558 ( -2522,  7638)";" 4604 ( -4539, 13748)";"40%"
"2015-02-19";"99";"11342 ( -4159,  26844)";"211 ( -273,  695)";" 58621 ( -29575, 146817)";"1111 ( -1613,  3836)";"12800 ( -18720,  44320)";" 8420 (-10999,  27839)";"1601 ( -1846,  5048)";" 2505 ( -2425,  7436)";" 4509 ( -4366, 13384)";"40%"
"2015-02-18";"98";"11131 ( -3889,  26152)";"207 ( -264,  677)";" 57510 ( -27981, 143001)";"1088 ( -1557,  3733)";"12534 ( -18069,  43136)";" 8246 (-10602,  27094)";"1568 ( -1776,  4913)";" 2454 ( -2332,  7239)";" 4417 ( -4198, 13031)";"40%"
"2015-02-17";"97";"10925 ( -3629,  25479)";"202 ( -254,  659)";" 56422 ( -26443, 139287)";"1065 ( -1502,  3633)";"12273 ( -17437,  41983)";" 8076 (-10217,  26369)";"1536 ( -1709,  4782)";" 2403 ( -2241,  7048)";" 4326 ( -4035, 12686)";"40%"
"2015-02-16";"96";"10722 ( -3379,  24823)";"198 ( -245,  641)";" 55357 ( -24960, 135673)";"1043 ( -1450,  3536)";"12018 ( -16823,  40860)";" 7910 ( -9844,  25664)";"1505 ( -1644,  4654)";" 2354 ( -2154,  6862)";" 4237 ( -3877, 12351)";"40%"
"2015-02-15";"95";"10524 ( -3137,  24185)";"194 ( -236,  624)";" 54313 ( -23528, 132155)";"1022 ( -1398,  3441)";"11769 ( -16229,  39767)";" 7748 ( -9482,  24978)";"1475 ( -1581,  4530)";" 2306 ( -2069,  6680)";" 4150 ( -3724, 12025)";"40%"
"2015-02-14";"94";"10330 ( -2905,  23565)";"190 ( -227,  607)";" 53292 ( -22148, 128731)";"1001 ( -1348,  3349)";"11525 ( -15652,  38703)";" 7589 ( -9132,  24310)";"1445 ( -1520,  4409)";" 2258 ( -1987,  6504)";" 4065 ( -3577, 11707)";"40%"
