"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-03-14";"122";"121157 (-22957, 265272)";"2729 (-1147,  6605)";" 647240 (-147673, 1442153)";"14190 (-5941, 34321)";"163194 (-68149, 394537)";"108839 (-45709, 263387)";"20750 ( -8497, 49996)";"32397 (-6926,  71720)";" 58315 (-12466, 129096)";"40%"
"2015-03-13";"121";"118428 (-21813, 258669)";"2677 (-1125,  6480)";" 633050 (-141752, 1407852)";"13941 (-5864, 33746)";"160343 (-67298, 387985)";"106778 (-44869, 258426)";"20331 ( -8296, 48958)";"31777 (-6804,  70359)";" 57199 (-12247, 126646)";"40%"
"2015-03-12";"120";"115751 (-20690, 252192)";"2626 (-1103,  6355)";" 619109 (-135906, 1374125)";"13693 (-5783, 33169)";"157507 (-66400, 381413)";"104737 (-44010, 253483)";"19918 ( -8093, 47929)";"31164 (-6677,  69004)";" 56094 (-12018, 124207)";"40%"
"2015-03-11";"119";"113124 (-19590, 245839)";"2575 (-1081,  6231)";" 605417 (-130139, 1340973)";"13446 (-5699, 32591)";"154686 (-65457, 374829)";"102714 (-43133, 248561)";"19510 ( -7889, 46909)";"30556 (-6544,  67655)";" 55001 (-11778, 121780)";"40%"
"2015-03-10";"118";"110549 (-18511, 239610)";"2525 (-1058,  6107)";" 591971 (-124456, 1308397)";"13201 (-5611, 32012)";"151883 (-64472, 368238)";"100712 (-42240, 243664)";"19107 ( -7685, 45899)";"29955 (-6406,  66315)";" 53918 (-11530, 119367)";"40%"
"2015-03-09";"117";"108025 (-17455, 233505)";"2475 (-1035,  5984)";" 578770 (-118859, 1276399)";"12957 (-5519, 31434)";"149099 (-63449, 361647)";" 98731 (-41334, 238795)";"18710 ( -7481, 44900)";"29360 (-6263,  64983)";" 52848 (-11273, 116970)";"40%"
"2015-03-08";"116";"105550 (-16423, 227523)";"2425 (-1012,  5862)";" 565813 (-113352, 1244977)";"12716 (-5425, 30857)";"146335 (-62390, 355060)";" 96771 (-40417, 233959)";"18318 ( -7276, 43912)";"28772 (-6116,  63661)";" 51790 (-11010, 114590)";"40%"
"2015-03-07";"115";"103125 (-15413, 221663)";"2377 ( -988,  5741)";" 553097 (-107939, 1214133)";"12476 (-5328, 30281)";"143593 (-61298, 348484)";" 94833 (-39489, 229156)";"17932 ( -7072, 42935)";"28191 (-5966,  62349)";" 50744 (-10739, 112228)";"40%"
"2015-03-06";"114";"100748 (-14428, 215924)";"2328 ( -964,  5621)";" 540620 (-102623, 1183863)";"12239 (-5228, 29706)";"140874 (-60176, 341924)";" 92919 (-38554, 224392)";"17551 ( -6868, 41971)";"27618 (-5813,  61048)";" 49712 (-10463, 109886)";"40%"
"2015-03-05";"113";" 98419 (-13466, 210305)";"2281 ( -940,  5502)";" 528381 ( -97406, 1154168)";"12004 (-5127, 29134)";"138179 (-59027, 335385)";" 91028 (-37613, 219668)";"17176 ( -6666, 41018)";"27051 (-5657,  59759)";" 48692 (-10182, 107566)";"40%"
