"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-11-02";"11";" 5490 ( 5034,  5947)";"138";" 38250 ( 33521,  42978)";"1185";"13714 (10311, 17118)";" 8820 ( 6907, 10733)";"1065 ( 870, 1260)";"2471 (1991,  2952)";" 4448 ( 3583,  5313)";"29%"
"2014-11-01";"10";" 5353 ( 4925,  5780)";"134";" 37065 ( 32625,  41506)";"1149";"13297 (10052, 16542)";" 8540 ( 6725, 10356)";"1037 ( 852, 1223)";"2394 (1938,  2851)";" 4310 ( 3489,  5131)";"29%"
"2014-10-31";"9";" 5218 ( 4818,  5619)";"131";" 35917 ( 31750,  40083)";"1113";"12892 ( 9799, 15984)";" 8269 ( 6546,  9991)";"1010 ( 834, 1186)";"2320 (1887,  2753)";" 4175 ( 3396,  4955)";"29%"
"2014-10-30";"8";" 5088 ( 4713,  5462)";"127";" 34803 ( 30898,  38708)";"1079";"12497 ( 9551, 15443)";" 8005 ( 6372,  9638)";" 983 ( 816, 1151)";"2247 (1837,  2658)";" 4045 ( 3306,  4784)";"30%"
"2014-10-29";"7";" 4960 ( 4611,  5310)";"124";" 33724 ( 30067,  37381)";"1046";"12114 ( 9309, 14919)";" 7750 ( 6202,  9297)";" 957 ( 799, 1116)";"2177 (1788,  2566)";" 3918 ( 3218,  4618)";"30%"
"2014-10-28";"6";" 4836 ( 4510,  5162)";"121";" 32678 ( 29257,  36098)";"1014";"11741 ( 9073, 14410)";" 7502 ( 6037,  8967)";" 932 ( 781, 1082)";"2108 (1740,  2477)";" 3795 ( 3132,  4458)";"30%"
"2014-10-27";"5";" 4715 ( 4411,  5019)";"118";" 31664 ( 28467,  34860)";"983";"11379 ( 8842, 13917)";" 7261 ( 5875,  8647)";" 907 ( 765, 1049)";"2042 (1694,  2390)";" 3676 ( 3049,  4303)";"30%"
"2014-10-26";"4";" 4597 ( 4314,  4880)";"115";" 30681 ( 27697,  33665)";"952";"11028 ( 8616, 13440)";" 7028 ( 5717,  8339)";" 883 ( 748, 1018)";"1978 (1648,  2307)";" 3560 ( 2967,  4153)";"30%"
"2014-10-25";"3";" 4482 ( 4219,  4745)";"112";" 29729 ( 26946,  32511)";"923";"10686 ( 8395, 12977)";" 6801 ( 5563,  8040)";" 859 ( 732,  987)";"1915 (1604,  2226)";" 3447 ( 2887,  4008)";"30%"
"2014-10-24";"2";" 4370 ( 4126,  4614)";"109";" 28806 ( 26215,  31397)";"894";"10354 ( 8179, 12529)";" 6582 ( 5413,  7751)";" 836 ( 716,  956)";"1855 (1561,  2148)";" 3338 ( 2809,  3867)";"30%"
"2014-10-23";"1";" 4261 ( 4034,  4487)";"106";" 27912 ( 25502,  30322)";"866";"10032 ( 7968, 12095)";" 6369 ( 5266,  7472)";" 814 ( 701,  927)";"1796 (1519,  2073)";" 3232 ( 2733,  3731)";"31%"
"2014-10-22";"0";" 4154 ( 3944,  4364)";"104";" 27046 ( 24806,  29285)";"839";" 9719 ( 7762, 11675)";" 6163 ( 5123,  7203)";" 792 ( 685,  899)";"1739 (1477,  2000)";" 3130 ( 2659,  3600)";"31%"
"2014-10-21";"-1";" 4050 ( 3856,  4244)";"101";" 26207 ( 24129,  28285)";"813";" 9415 ( 7561, 11268)";" 5963 ( 4983,  6943)";" 771 ( 670,  871)";"1683 (1437,  1930)";" 3030 ( 2587,  3473)";"31%"
"2014-10-20";"-2";" 3949 ( 3770,  4129)";"98";" 25394 ( 23468,  27319)";"787";" 9120 ( 7364, 10875)";" 5769 ( 4847,  6691)";" 750 ( 656,  844)";"1630 (1398,  1861)";" 2934 ( 2517,  3351)";"31%"
"2014-10-19";"-3";" 3851 ( 3685,  4017)";"96";" 24606 ( 22824,  26389)";"763";" 8833 ( 7172, 10494)";" 5581 ( 4715,  6448)";" 730 ( 641,  818)";"1578 (1360,  1796)";" 2840 ( 2448,  3232)";"31%"
